Artist,Title,Album,Year,Validated
Elliott Smith,Between the Bars,Either/Or,1997,True
Ray LaMontagne,Trouble,Trouble,2004,True
Gregory Alan Isakov,Amsterdam,The Weatherman,2013,True
The Tallest Man on Earth,Love Is All,The Wild Hunt,2010,True
Nick Mulvey,Fever to the Form,First Mind,2013,True
Radical Face,Welcome Home,Ghost,2007,True
Alexi Murdoch,Orange Sky,Time Without Consequence,2006,True
Foy Vance,Guiding Light,Joy of Nothing,2013,True
Ben Harper,Walk Away,Welcome To The Cruel World,1994,True
John Prine,Angel from Montgomery,John Prine,1971,True
Townes Van Zandt,If I Needed You,The Late Great Townes Van Zandt,1972,True
Gillian Welch,Everything Is Free,Time (The Revelator),2001,True
Joni Mitchell,A Case of You,Blue,1971,True
Jackson C. Frank,Blues Run the Game,Jackson C. Frank,1965,True
Vashti Bunyan,Diamond Day,Just Another Diamond Day,1970,True
Bert Jansch,Needle of Death,Bert Jansch,1965,True
Laura Marling,Ghosts,Alas I Cannot Swim,2008,True
Fionn Regan,Be Good or Be Gone,The End of History,2006,True
Keaton Henson,You,Birthdays,2012,True
James Vincent McMorrow,If I Had a Boat,Early in the Morning,2010,True
Novo Amor,Anchor,Bathing Beach,2014,True
Bear's Den,Agape,Islands,2013,True
Daughter,Youth,If You Leave,2013,True
Matt Corby,Resolution,Resolution - EP,2013,True
Dermot Kennedy,An Evening I Will Not Forget,Without Fear,2017,True
City and Colour,The Girl,Bring Me Your Love,2008,True
Amos Lee,Arms of a Woman,Amos Lee,2005,True
Brett Dennen,Ain't No Reason,So Much More,2006,True
M. Ward,Chinese Translation,Post-War,2006,True
Ryan Adams,Oh My Sweet Carolina,Heartbreaker,2000,True
Jason Isbell,Cover Me Up,Southeastern,2013,True
Noah Gundersen,Family,Family,2011,True
The Paper Kites,Bloom,Woodland,2010,True
SYML,Where's My Love,SYML,2016,True
Ben Rector,When a Heart Breaks,Into the Morning,2011,True
Seafret,Oceans,Tell Me It's Real,2014,True
William Fitzsimmons,Passion Play,Until When We Are Ghosts,2008,True
The Civil Wars,Poison & Wine,Barton Hollow,2009,True
Michael Kiwanuka,Home Again,Home Again,2012,True
Andy Shauf,The Magician,The Party,2016,True
Rayland Baxter,Yellow Eyes,Imaginary Man,2015,True
Lissie,When I'm Alone,Catching a Tiger,2010,True
Aimee Mann,Wise Up,"Bachelor, No. 2 (Or, The Last Remains of the Dodo)",1999,True
Shawn Colvin,Sunny Came Home,A Few Small Repairs,1997,True
John Martyn,May You Never,Solid Air,1973,True
Sandy Denny,Who Knows Where the Time Goes?,Like an Old Fashioned Waltz,1969,True
Phoebe Bridgers,Motion Sickness,Stranger in the Alps,2017,True
Julien Baker,Appointments,Turn Out the Lights,2017,True
Sharon Van Etten,Seventeen,Remind Me Tomorrow,2019,True
Hollow Coves,The Woods,Wanderlust,2017,True
