Artist,Title,Album,Year,Validated
Stan Getz & João Gilberto,The Girl from Ipanema,Getz/Gilberto,1964,True
Stan Getz & João Gilberto,Corcovado (Quiet Nights of Quiet Stars),Getz/Gilberto,1964,True
Stan Getz & Charlie Byrd,Desafinado,Jazz Samba,1962,True
Antônio Carlos Jobim,Wave,Sinatra/Jobim: The Complete Reprise Recordings,1967,True
Antônio Carlos Jobim,Triste,Sinatra/Jobim: The Complete Reprise Recordings,1967,True
Antônio Carlos Jobim,Dindi,The Astrud Gilberto Album With Antonio Carlos Jobim,1967,True
Antônio Carlos Jobim,Meditation (Meditação),Sinatra/Jobim: The Complete Reprise Recordings,1962,True
João Gilberto,Chega de Saudade,Chega de Saudade,1959,True
Astrud Gilberto,The Shadow of Your Smile,The Shadow Of Your Smile,1965,True
Astrud Gilberto,Água de Beber,The Astrud Gilberto Album,1965,True
Sérgio Mendes & Brasil '66,Mas Que Nada,Herb Alpert Presents Sergio Mendes & Brasil '66,1966,True
Luiz Bonfá,Manhã de Carnaval,Orfeu Negro,1959,True
Baden Powell,Berimbau,Le Monde Musical De Baden Powell,1966,True
Marcos Valle,Summer Samba (So Nice),Samba '68,1964,True
Vinícius de Moraes & Toquinho,Tarde em Itapoã,Como Dizia O Poeta...,1970,True
João Donato,A Rã,Quem É Quem,1973,True
Nara Leão,O Barquinho,20 Grandes Sucessos De Nara Leao,1961,True
Stan Getz,Só Danço Samba,Jazz Samba Encore!,1963,True
Kenny Dorham,Blue Bossa,Moments,1963,True
Stan Getz & Charlie Byrd,Samba Triste,Jazz Samba,1962,True
João Gilberto,Insensatez,Saudade Da Bahia,1961,True
Stan Getz & João Gilberto,O Grande Amor,Getz/Gilberto,1964,True
Stan Getz & João Gilberto,Doralice,Getz/Gilberto,1964,True
João Gilberto,Bim Bom,Chega de Saudade,1959,True
João Gilberto,Rosa Morena,Chega de Saudade,1959,True
João Gilberto,Saudade Fez um Samba,Chega de Saudade,1959,True
João Gilberto,Lobo Bobo,Chega de Saudade,1959,True
João Gilberto,Brigas Nunca Mais,Chega de Saudade,1959,True
João Gilberto,Ho-Ba-La-Lá,João Gilberto,1961,True
João Gilberto,O Pato,"O Amor, o Sorriso e a Flor",1960,True
João Gilberto,Samba de Uma Nota Só,"O Amor, o Sorriso e a Flor",1960,True
Antônio Carlos Jobim,One Note Samba (Samba de Uma Nota Só),Sinatra/Jobim: The Complete Reprise Recordings,1963,True
Antônio Carlos Jobim,Vivo Sonhando,The Composer of Desafinado Plays,1965,True
Antônio Carlos Jobim,Favela,The Wonderful World of Antonio Carlos Jobim,1965,True
Elis Regina & Antônio Carlos Jobim,Águas de Março,Elis & Tom,1974,True
Elis Regina & Antônio Carlos Jobim,Retrato em Branco e Preto,Elis & Tom,1974,True
Elis Regina & Antônio Carlos Jobim,Só Tinha de Ser Com Você,Elis & Tom,1974,True
Elis Regina & Antônio Carlos Jobim,Modinha,Elis & Tom,1974,True
Astrud Gilberto,Fly Me to the Moon,The Shadow Of Your Smile,1965,True
Astrud Gilberto,It Might as Well Be Spring,The Astrud Gilberto Album,1965,True
Astrud Gilberto,Once I Loved,Astrud For Lovers,1966,True
Baden Powell & Vinícius de Moraes,Canto de Ossanha,,1966,True
Paul Desmond,Bossa Antigua,Bossa Antigua,1965,True
Antônio Carlos Jobim,A Felicidade,Orfeu Negro,1959,True
Marcos Valle,Samba de Verão,O Compositor e o Cantor,1965,True
Bebel Gilberto,So Nice (Summer Samba),Tanto Tempo,2000,True
Rosa Passos,Dunas,Festa,1993,True
