Artist,Title,Album,Year,Validated
Bing Crosby,White Christmas,Merry Christmas,1945,True
Bing Crosby & The Andrews Sisters,Jingle Bells,Merry Christmas,1945,True
Nat King Cole,The Christmas Song (Chestnuts Roasting on an Open Fire),The Christmas Song,1963,False
Gene Autry,Rudolph the Red-Nosed Reindeer,Rudolph the Red-Nosed Reindeer (Single),1949,False
Jackson 5,Santa Claus Is Comin' to Town,Jackson 5 Christmas Album,1970,False
Bobby Helms,Jingle Bell Rock,Jingle Bell Rock (Single),1957,False
Brenda Lee,Rockin' Around the Christmas Tree,Merry Christmas from Brenda Lee,1964,True
Elvis Presley,Blue Christmas,Elvis' Christmas Album,1957,True
Frank Sinatra,Have Yourself a Merry Little Christmas,A Jolly Christmas from Frank Sinatra,1957,True
Harry Simeone Chorale,The Little Drummer Boy,Sing We Now of Christmas,1958,False
The Ronettes,Sleigh Ride,A Christmas Gift for You from Philles Records,1963,True
Mariah Carey,All I Want for Christmas Is You,Merry Christmas,1994,True
Gene Autry,Frosty the Snowman,Frosty the Snowman (Single),1950,False
Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),Here Comes Santa Claus (Single),1947,False
Andy Williams,It's the Most Wonderful Time of the Year,The Andy Williams Christmas Album,1963,True
Bing Crosby & Carol Richards,Silver Bells,Merry Christmas,1950,True
Johnny Mathis,Winter Wonderland,Merry Christmas,1958,True
Burl Ives,A Holly Jolly Christmas,A Holly Jolly Christmas,1964,True
Darlene Love,Christmas (Baby Please Come Home),A Christmas Gift for You,1963,True
Bing Crosby,I'll Be Home for Christmas,Merry Christmas,1945,True
Los Fronterizos,La Peregrinación,Navidad Nuestra,1965,False
Los Fronterizos,Los Reyes Magos,Navidad Nuestra,1965,False
Los Fronterizos,La Anunciación,Navidad Nuestra,1965,False
Los Fronterizos,El Nacimiento,Navidad Nuestra,1965,False
Los Fronterizos,Los Pastores,Navidad Nuestra,1965,False
Los Fronterizos,La Huida,Navidad Nuestra,1965,False
Daniel Toro,Zamba de Navidad,20 Grandes Éxitos Vol. 2,1976,True
Mercedes Sosa,Navidad de Juanito Laguna,Navidad con Mercedes Sosa,1970,True
Mercedes Sosa,Navidad en Verano,Navidad con Mercedes Sosa,1970,True
Miranda!,Navidad,Sin Restricciones,2004,True
Attaque 77,Papá llegó borracho (Navidad),Dulce Navidad,1989,True
Él Mató a un Policía Motorizado,Villancico del final,Navidad de Reserva (EP),2005,True
Sumo,Noche de paz,After Chabón,1987,True
Helene Fischer,Stille Nacht,Weihnachten,2015,True
Helene Fischer,O du fröhliche,Weihnachten,2015,True
Helene Fischer,Ihr Kinderlein kommet,Weihnachten,2015,True
Helene Fischer,Alle Jahre wieder,Weihnachten,2015,True
Helene Fischer,Süßer die Glocken nie klingen,Weihnachten,2015,True
Helene Fischer,Es ist ein Ros entsprungen,Weihnachten,2015,True
Helene Fischer,O Tannenbaum,Weihnachten,2015,True
Heintje,Leise rieselt der Schnee,Weihnachten mit Heintje,1968,True
Heintje,"Kommet, ihr Hirten",Weihnachten Mit Heintje,1968,True
still,Still,still,Wiener Sängerknaben,True
Boney M.,Mary's Boy Child/Oh My Lord,Christmas Album,1981,True
Melanie Thornton,Wonderful Dream (Holidays Are Coming),Wonderful Dream (Holidays Are Coming) - Single,2001,True
Helene Fischer,"Kling, Glöckchen, klingelingeling",Weihnachten,2015,True
Dresdner Kreuzchor,In dulci jubilo,Weihnachtliche Chormusik,1995,False
Heintje,Morgen kommt der Weihnachtsmann,Weihnachten mit Heintje,1968,True
Helene Fischer,Fröhliche Weihnacht überall,Weihnachten,2015,True
Rolf Zuckowski,In der Weihnachtsbäckerei,Winterkinder,1987,True
Rundfunk-Kinderchor Leipzig,Lasst uns froh und munter sein,Ihr Kinderlein Kommet,1975,False
Wham!,Last Christmas,Last Christmas (Single),1984,False
Band Aid,Do They Know It's Christmas?,Do They Know It's Christmas? (Single),1984,True
The Pogues feat. Kirsty MacColl,Fairytale of New York,If I Should Fall from Grace with God,1988,False
Slade,Merry Xmas Everybody,Merry Xmas Everybody (Single),1973,True
Wizzard,I Wish It Could Be Christmas Everyday,I Wish It Could Be Christmas Everyday (Single),1973,True
John Lennon & Yoko Ono,Happy Xmas (War Is Over),Happy Xmas (War Is Over) (Single),1971,False
Elton John,Step into Christmas,Step into Christmas (Single),1973,False
Jona Lewie,Stop the Cavalry,Stop the Cavalry (Single),1980,False
The Pretenders,2000 Miles,Learning to Crawl,1984,False
Cliff Richard,Mistletoe and Wine,Private Collection 1979–1988,1988,True
Celtic Woman,The Wexford Carol,A Christmas Celebration,2006,True
Michael Bublé,It's Beginning to Look a Lot Like Christmas,Christmas,2011,True
Justin Bieber,Mistletoe,Under the Mistletoe,2011,True
Celine Dion,O Holy Night,These Are Special Times,1998,True
Joni Mitchell,River,Blue,1971,True
Tino Rossi,Petit Papa Noël,Petit Papa Noël (Single),1946,True
Luciano Pavarotti,Tu scendi dalle stelle,Christmas with the Three Tenors,1976,False
Raphael,La canción del tamborilero,Raphael canta la Navidad,1965,True
Coro Infantil de Santo Amaro de Oeiras,A Todos um Bom Natal,A Todos um Bom Natal,1980,True
Carlos Galhardo,Boas Festas,Boas Festas (Single),1933,False
Simone,Então É Natal,25 de Dezembro,1995,True
Orphei Drängar,"Jul, jul, strålande jul","Jul, jul, strålande jul",1986,False
