Artist,Title,Album,Year,Validated
Althea & Donna,Uptown Top Ranking,Uptown Top Ranking,1977,True
Alton Ellis,I'm Still in Love with You,I'm Still In Love / Just A Bit Of Soul,1967,True
Aswad,Back to Africa,Aswad,1985,True
Aswad,Don't Turn Around,Distant Thunder,1988,True
Aswad,Dub Fire,New Chapter Of Dub,1990,True
Aswad,Love Fire,Live & Direct,1984,True
Aswad,Warrior Charge,Aswad Showcase,1982,True
Augustus Pablo,East of the River Nile,East of the River Nile,1973,True
Augustus Pablo,Java,This Is Augustus Pablo,1985,True
Augustus Pablo,King Tubby Meets the Rockers Uptown,DJ Andy Smith: Greensleeves Document,1976,True
Barrington Levy,Under Mi Sensi,Here I Come,1984,True
Big Youth,S-90 Skank,Big Youth Speaks: Life Is Not an Easy Road,1972,True
Black Uhuru,Chill Out,Chill Out,1982,True
Black Uhuru,General Penitentiary,Guess Who's Coming To Dinner,1983,True
Black Uhuru,Guess Who's Coming to Dinner,Sinsemilla,1980,True
Black Uhuru,Sinsemilla,Sinsemilla,1981,True
Black Uhuru,Sponji Reggae,Red,1982,True
Black Uhuru,What Is Life,Anthem,1984,True
Bob Marley,Buffalo Soldier,Confrontation,1983,True
Bob Marley,Could You Be Loved,Uprising,1980,True
Bob Marley,Exodus,Exodus,1977,True
Bob Marley,"Get Up, Stand Up",Burnin',1973,True
Bob Marley,I Shot the Sheriff,Burnin',1973,True
Bob Marley,Jamming,Exodus,1977,True
Bob Marley,Natural Mystic,Exodus,1977,True
Bob Marley,"No Woman, No Cry",Natty Dread,1975,True
Bob Marley,One Love/People Get Ready,Bob Marley emlékére,1977,True
Bob Marley,Positive Vibration,Rastaman Vibration,1976,True
Bob Marley,Redemption Song,Bob Marley emlékére,1980,True
Bob Marley,"Roots, Rock, Reggae",Bob Marley emlékére,1976,True
Bob Marley,Stir It Up,Catch a Fire,1973,True
Bob Marley,Three Little Birds,Exodus,1977,True
Bob Marley,Waiting in Vain,Exodus,1977,True
Bunny Wailer,Blackheart Man,Blackheart Man,1976,True
Bunny Wailer,Dreamland,Blackheart Man,1976,True
Burning Spear,Columbus,Man In The Hills,1976,True
Burning Spear,Door Peep,Man In The Hills,1981,True
Burning Spear,Farover,Farover,1982,True
Burning Spear,Jah No Dead,Social Living,1978,True
Burning Spear,Jah Nuh Dead,Live at Montreux Jazz Festival 2001,1978,True
Burning Spear,Marcus Garvey,Marcus Garvey,1975,True
Burning Spear,Slavery Days,Marcus Garvey,1975,True
Burning Spear,Social Living,Social Living,1978,True
Culture,Get Ready,Live In Africa,1978,True
Culture,Harder Than the Rest,Rare and Unreleased Dub,1983,True
Culture,I Pray,Who Checks on Me,1978,True
Culture,International Herb,International Herb,1980,True
Culture,Two Sevens Clash,Two Sevens Clash,1977,True
Delroy Wilson,Better Must Come,Meets Sly & Robbie Downtown,1971,True
Dennis Brown,Cassandra,Just Dennis,1976,True
Dennis Brown,Here I Come,Deep Down,1974,True
Dennis Brown,How Could I Leave,Live At The Apollo,1975,True
Dennis Brown,Love Has Found Its Way,Love Has Found Its Way,1977,True
Dennis Brown,Money in My Pocket,Words Of Wisdom,1979,True
Dennis Brown,Open the Gate,Deep Down,1971,True
Dennis Brown,Revolution,Revolution,1976,True
Dennis Brown,Westbound Train,Just Dennis,1982,True
Desmond Dekker,007 (Shanty Town),Action!,1967,True
Desmond Dekker,Israelites,Intensified,1968,True
Eek-A-Mouse,Ganja Smuggling,Wa-Do-Dem,1981,True
Freddie McGregor,Big Ship,Big Ship,1982,True
Freddie McGregor,Prophecy,Now,1980,True
Gregory Isaacs,Cool Down the Pace,Night Nurse,1982,True
Gregory Isaacs,Hold Me Tight,All I Have Is Love,1983,True
Gregory Isaacs,Love Is Overdue,Easy,1983,True
Gregory Isaacs,My Number One,My Number One,1979,True
Gregory Isaacs,Night Nurse,Night Nurse,1982,True
Gregory Isaacs,Rumours,Red Rose For Gregory,1980,True
Gregory Isaacs,Soon Forward,Soon Forward,1979,True
Gregory Isaacs,Stranger in Town,Night Nurse,1984,True
Gregory Isaacs,Tune In,Gregory Isaacs Love Songs (The Boxset),1982,True
Horace Andy,Children of Israel,Skylarking,1970,True
