Artist,Title,Year,Album,Validated
Adele,Hello,2015,25,True
Adele,Rolling in the Deep,2011,21,True
AJR,Bang!,2020,OK ORCHESTRA,True
AJR,Weak,2017,The Click,True
Ariana Grande,Thank U Next,2018,"thank u, next",True
Ariana Grande,We Can't Be Friends (Wait for Your Love),2024,eternal sunshine,True
Avicii,Levels,2011,Avicii Forever,True
Avicii,Wake Me Up,2013,True,True
Bad Bunny,Dakiti,2020,EL ÚLTIMO TOUR DEL MUNDO,True
Bastille,Happier,2018,Happier,True
Bastille,Pompeii,2013,Bad Blood,True
Billie Eilish,Bad Guy,2019,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO",True
Billie Eilish,Happier Than Ever,2021,Happier Than Ever,True
Black Eyed Peas,Just Can't Get Enough,2011,The Beginning,True
Black Eyed Peas,The Time (Dirty Bit),2010,The Beginning,True
BLACKPINK,How You Like That,2020,THE ALBUM,True
Bruno Mars,24K Magic,2016,24K Magic,True
Bruno Mars,Locked Out of Heaven,2012,Unorthodox Jukebox,True
BTS,Butter,2021,Butter (Single),True
BTS,Dynamite,2020,BE,True
Camila Cabello,Havana,2018,Camila,True
Camila Cabello,Señorita,2019,Romance,True
Cardi B,Bodak Yellow,2017,Invasion of Privacy,True
Cardi B,WAP,2020,AM I THE DRAMA,True
Carly Rae Jepsen,Call Me Maybe,2012,Kiss,True
Carly Rae Jepsen,I Really Like You,2015,Emotion,True
Charlie Puth,Attention,2017,Voicenotes,True
Charlie Puth,We Don't Talk Anymore,2016,Nine Track Mind,True
Clean Bandit,Rather Be,2014,New Eyes,True
Clean Bandit,Rockabye,2016,What Is Love,True
Daft Punk,Get Lucky,2013,Random Access Memories,True
Daft Punk,Lose Yourself to Dance,2013,Random Access Memories,True
David Guetta,Hey Mama,2015,Listen,True
David Guetta,Titanium,2012,Nothing but the Beat,True
Demi Lovato,SORRY NOT SORRY,2017,Tell Me You Love Me,True
Doja Cat,Paint The Town Red,2023,Scarlet,True
Doja Cat,Say So,2020,Hot Pink,True
Drake,God's Plan,2018,Scorpion,True
Drake,One Dance,2016,Views,True
Dua Lipa,Levitating,2020,Future Nostalgia,True
Dua Lipa,New Rules,2017,Dua Lipa,True
Ed Sheeran,Bad Habits,2021,=,True
Ed Sheeran,Celestial,2022,Celestial,True
Ed Sheeran,Shape of You,2017,÷,True
Ellie Goulding,Lights,2012,Lights,True
Ellie Goulding,Love Me Like You Do,2015,Delirium,True
Flo Rida,Good Feeling,2011,Wild Ones,True
Flo Rida,Whistle,2012,Wild Ones,True
Gotye,Eyes Wide Open,2010,Making Mirrors,True
Gotye,Somebody That I Used to Know,2012,Making Mirrors,True
Harry Styles,As It Was,2022,Harry's House,True
Harry Styles,Sign of the Times,2017,Harry Styles,True
Hozier,Take Me to Church,2014,Hozier,True
Hozier,Too Sweet,2024,Unheard EP,True
Imagine Dragons,Believer,2017,Evolve,True
Imagine Dragons,Radioactive,2012,Night Visions,True
Jack Harlow,First Class,2022,Come Home The Kids Miss You,True
Jack Harlow,Lovin on Me,2023,Lovin On Me,True
Jason Derulo,Talk Dirty,2014,Tattoos,True
Jason Derulo,Want to Want Me,2015,Everything Is 4,True
Jonas Brothers,Sucker,2019,Happiness Begins,True
Jonas Brothers,What a Man Gotta Do,2020,The Family Business,True
Justin Bieber,Peaches,2021,Justice,True
Justin Bieber,Sorry,2015,Purpose,True
Justin Timberlake,Can't Stop the Feeling!,2016,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",True
Justin Timberlake,Mirrors,2013,The 20/20 Experience,True
Katy Perry,Firework,2010,Teenage Dream,True
Katy Perry,Roar,2013,PRISM,True
Kelly Clarkson,Piece by Piece,2015,Piece By Piece,True
Kelly Clarkson,Stronger (What Doesn't Kill You),2012,Stronger,True
Kendrick Lamar,Humble,2017,DAMN.,True
Kendrick Lamar,Not Like Us,2024,Not Like Us,True
Kygo,Firestone,2014,Cloud Nine,True
Lady Gaga,Born This Way,2011,Born This Way,True
