Artist,Title,Album,Year,Validated
"La Mona Jiménez",Quién se ha tomado todo el vino,,,False
"Rodrigo ""El Potro""",La Mano de Dios,,,False
"La Mona Jiménez",Amor Clasificado,,,False
"Rodrigo ""El Potro""",La Cerveza,,,False
"Rodrigo ""El Potro""",Ocho Cuarenta,,,False
"La K'onga",Universo Paralelo,,,False
"Luck Ra feat. La K'onga",Ya No Vuelvas,,,False
"Luck Ra",Te Mentiría,,,False
"Q'Lokura",Besos Nuevos,,,False
"Tru-la-lá",Aventura,,,False
"Rodrigo ""El Potro""",Soy Cordobés,,,False
"La Mona Jiménez",El Renegado,,,False
"La K'onga",Te Perdiste Mi Amor,,,False
"Ulises Bueno",Borracho de Amor,,,False
"Q'Lokura",Olvídame,,,False
"Gary",Te Quiero,,,False
"Chiquicha",El Chiqui Chiqui,,,False
"Rodrigo ""El Potro""",Como Olvidarla,,,False
"Ulises Bueno",Dale Vieja Dale,,,False
"La K'onga",Partido en Dos,,,False
"Walter Olmos",Amor Fugitivo,,,False
"La Mona Jiménez",Beso a Beso,,,False
"La Mona Jiménez",Ramito de Violetas,,,False
"Desakta2",Tu misterioso alguien,,,False
"Rodrigo ""El Potro""",Que ironía,,,False
