Artist,Title,Year,Album,Validated
Amar Azul,Yo Me Enamore,1997,Lo Mejor de Lo Mejor,True
Amar Azul,Yo Tomo,2001,El Campeón,True
Amar Azul,Yo Tomo Licor,1998,Lo Mejor de Lo Mejor,True
Damas Gratis,Atrevida,2003,La Gota Que Rebasó el Vaso,True
Damas Gratis,El Humo de Mi Fasito,2004,100% Negro Cumbiero,True
Damas Gratis,El Viejo de la Bolsa,2002,El Bonaerense,True
Damas Gratis,Laura,2001,King Doudou Remixes Spring 2022,True
Damas Gratis,Los Dueños del Pabellón,2000,El Bonaerense,True
Damas Gratis,Me Vas a Extrañar,2002,40 Minutos Atr (En Vivo),True
Damas Gratis,No Te Creas Tan Importante,2010,40 Minutos Atr (En Vivo),True
Damas Gratis,Se Te Ve La Tanga,2005,El Bonaerense,True
El Dipy,Par-Tusa,2013,Session En Vivo,True
El Polaco,Deja de Llorar,2006,Sigo Por El Objetivo,True
Flor de Piedra,Sos un Botón,2001,Sos Un Boton,True
Los Pibes Chorros,Andrea,2001,Arriba Las Manos,True
Los Pibes Chorros,Duraznito,2001,Arriba Las Manos,True
Los Pibes Chorros,El Prisionero,2001,En Vivo... Hasta la Muerte,True
Los Pibes Chorros,El Tano Pastita,2000,Arriba Las Manos,True
Los Pibes Chorros,Que Calor,2002,Pibes Chorros - Criando Cuervos,True
Mala Fama,Gata,2001,Ritmo Sustancia,True
Mala Fama,La Marca de la Gorra,2001,Ritmo Sustancia,True
Rafaga,Agüita,2003,Lo Mejor de Ráfaga,True
Rafaga,La Luna y Tú,2005,Imparables,True
Rafaga,Maldito Corazón,1999,Imparables,True
Rafaga,Mentirosa,1998,Imparables,True
Rafaga,Muero de Frío,2000,Dueños del Viento,True
Rafaga,Una Cerveza,2001,Una Cerveza,True
Rafaga,Volver a Empezar,2000,Volver A Empezar,True
Supermerk2,La Resaka,2001,La Lata,True
Yerba Brava,La Cumbia de los Trapos,1999,Cumbia Villera,True
Yerba Brava,Pibe Cantina,2000,Cumbia Villera,True
Los Pibes Chorros,Sentimiento Villero,2001,Arriba las manos,True
Yerba Brava,Tumberos,2000,En Vivo,True
Meta Guacha,Alma Blanca,2000,Lona cartón y chapa,True
