Artist,Title,Album,Year,Validated
Mr. Fingers,Can You Feel It,Amnesia,1986,True
Fingers Inc.,Mystery of Love,The House Sound of Chicago,1988,True
Fingers Inc.,Distant Planet,Another Side,1988,True
Fingers Inc.,I'm Strong,Another Side,1988,True
Fingers Inc.,Bring Down the Walls,Another Side,1988,True
Fingers Inc.,Never No More Lonely,Another Side,1988,True
Mr. Fingers,Washing Machine,Washing Machine,1986,True
Mr. Fingers,What About This Love,What About This Love,1989,True
Larry Heard,The Sun Can't Compare,The Sun Can't Compare,2006,True
Larry Heard,Missing You,Love's Arrival,2001,True
Joe Smooth,Promised Land,Promised Land,1987,True
Jamie Principle,Your Love,Trax Records: The 20th Anniversary Collection,1986,True
Frankie Knuckles,The Whistle Song,Beyond the Mix,1991,True
Frankie Knuckles feat. Jamie Principle,Your Love,,1987,True
Marshall Jefferson,Move Your Body,The House Music Anthem,1986,True
On the House,Pleasure Control,Pleasure Control,1986,True
Virgo,R U Hot Enough,DJ-Kicks: Special Request,1989,True
Virgo,Do You Know Who You Are,Virgo,1989,True
Kerri Chandler,Atmosphere,Atmosphere (The Lost Dubs),1993,True
Kerri Chandler,Rain,Rain,1998,True
Kerri Chandler,Bar A Thym,Bar A Thym / Sunshine & Twilight,2005,True
Kerri Chandler,Hallelujah,Hallelujah,1998,True
Kerri Chandler,Mommy What's a Record?,Downtown EP,2003,True
Kerri Chandler,Six Pianos,Six Pianos,2014,True
Ron Trent,Seduction,Prescription: Word Sound & Power,1993,True
Ron Trent,Altered States,Altered States,1990,True
Round Two,New Day,New Day,1995,True
Mood II Swing,Do It Your Way,Do It Your Way,1996,True
Mood II Swing,All Night Long,All Night Long,1995,True
Mood II Swing,Can't Get Away,Can't Get Away,1997,True
Masters at Work,The Ha Dance,The Ha Dance,1991,True
Hardrive,Deep Inside,Deep Inside,1993,True
Barbara Tucker,Beautiful People,Beautiful People,1994,True
Barbara Tucker,I Get Lifted,Work #4,1994,True
Lil' Louis,Club Lonely,Journey With the Lonely,1992,True
Lil' Louis,French Kiss,From the Mind of Lil Louis,1989,True
Ten City,That's the Way Love Is,Foundation,1989,True
Blaze,Lovelee Dae,Lovelee Dae,1996,True
Blaze,My Beat,My Beat,1997,True
Basil Hardhaus,City Streets,,1992,True
Pal Joey,Hot Music,Hot Music,1990,True
Earth People,Dance,Dance,1990,True
Cajmere feat. Dajae,Brighter Days,Brighter Days,1992,True
Crystal Waters,Gypsy Woman (She's Homeless),Surprise,1991,True
Robin S.,Show Me Love,Show Me Love,1993,True
CeCe Peniston,Finally,Finally,1992,True
Nightcrawlers,Push the Feeling On,Push the Feeling On,1992,True
MK,Burning,Burning,1991,True
MK,Always,Always,1992,True
Moodymann,I Can't Kick This Feeling When It Hits,Silentintroduction,1997,True
Moodymann,Shades of Jae,Black Mahogani,1996,True
Moodymann,Sunday Morning,Silentintroduction,1997,True
Moodymann,The Day We Lost the Soul,The Day We Lost the Soul,1995,True
Theo Parrish,Ebonics,Pieces of a Paradox,1997,True
Theo Parrish,Heal Yourself and Move,First Floor,1998,True
Theo Parrish,Lake Shore Drive,Baby Steps,1996,True
Omar-S,Psychotic Photosynthesis,"Secretsundaze, Volume 2",2007,True
Andres,New For U,New For U,2012,True
Rick Wade,Night Station,Panorama Bar 01,1995,True
Rick Wade,Angry Jazz,Night Trackin',1998,True
Mike Huckaby,The Jazz Republic,The Jazz Republic,1997,True
Glenn Underground,C.V.O. Trance,C.V.O. Trance,1995,True
Gemini,Day Dreaming,On the North Star With Gemini,1997,True
Gemini,In My Head,In My Head,1996,True
St Germain,Alabama Blues,Boulevard,1995,True
St Germain,Deep In It,Boulevard,1995,True
St Germain,Rose Rouge,Tourist,2000,True
Pépé Bradock,Deep Burnt,Burning,1999,True
Isolée,Beau Mot Plage,Beau Mot Plage,1998,True
Luomo,Tessio,Vocalcity,2000,True
Luomo,The Present Lover,The Present Lover,2003,True
Akufen,Skidoos,My Way,2002,True
Booka Shade,In White Rooms,Movements,2006,True
Trentemøller,Moan,The Last Resort,2006,True
Âme,Rej,Rej,2005,True
Âme,Nia,Âme,2004,True
Henrik Schwarz,Leave My Head Alone Brain,Henrik Schwarz: Instruments,2006,True
Henrik Schwarz,Walk Music,Walk Music,2006,True
Dixon,Where We At,Where We At,2006,True
Franck Roger,After All,After All,2005,True
Jimpster,Dangly Panther,Dangly Panther,2008,True
Jimpster,Porchlight and Rocking Chairs,Porchlight and Rocking Chairs,2013,True
Crazy P,Like a Fool,Walk Dance Talk Sing,2008,True
Tensnake,Coma Cat,Coma Cat,2010,True
Maya Jane Coles,What They Say,What They Say,2010,True
Maceo Plex,Vibe Your Love,Vibe Your Love,2011,True
Azari & III,Hungry for the Power,Hungry for the Power,2009,True
Solomun,Kackvogel,Kackvogel,2012,True
Noir & Haze,Around,Around,2011,True
Storm Queen,Look Right Through,Look Right Through,2010,True
Julio Bashmore,Au Seve,Au Seve,2012,True
Disclosure feat. Sam Smith,Latch,Settle,2012,True
Dusky,Flo Jam,Flo Jam,2011,True
Dusky,Careless,Careless,2013,True
George FitzGerald,Child,Child,2012,True
Huxley,Let It Go,Let It Go,2012,True
Bicep,Just,Just,2015,True
Fort Romeau,Insides,Insides,2015,True
Leon Vynehall,It's Just (House of Dupree),Music for the Uninvited,2014,True
DJ Koze,Pick Up,Knock Knock,2018,True
Motor City Drum Ensemble,Raw Cuts #3,Raw Cuts Vol. 1,2008,True
Motor City Drum Ensemble,Send a Prayer Pt. 2,Send a Prayer,2009,True
Session Victim,Good Intentions,The Haunted House of House,2012,True
