Artist,Title,Album,Year,Validated
Anderson .Paak,Am I Wrong,Malibu,2016,True
Anderson .Paak,Come Down,Malibu,2016,True
Anderson .Paak,The Bird,Malibu,2016,True
BadBadNotGood,Lavender (Nightfall Remix) [feat. Kaytranada & Snoop Dogg],Lavender (feat. Kaytranada & Snoop Dogg),2017,True
BadBadNotGood,Time Moves Slow,IV,2016,True
Blood Orange,Charcoal Baby,Negro Swan,2018,True
Blood Orange,You're Not Good Enough,Cupid Deluxe,2013,True
Caribou,Can't Do Without You,Our Love,2014,True
Caribou,Home,Our Love,2019,True
Childish Gambino,Redbone,"""Awaken, My Love!""",2016,True
Childish Gambino,Sober,Kauai,2014,True
FKJ,Skyline,French Kiwi Juice,2017,True
FKJ,Tadow,Tadow,2017,True
FKJ & Masego,Tadow,Tadow,2017,True
Flume,Never Be Like You,Skin,2016,True
Flume,Rushing Back (feat. Vera Blue),Rushing Back (feat. Vera Blue),2019,True
Flying Lotus,Never Catch Me,You're Dead!,2014,True
James Blake,Retrograde,Overgrown,2013,True
Jungle,Busy Earnin',Jungle,2014,True
Jungle,Casio,For Ever,2018,True
Jungle,"Heavy, California",For Ever,2018,True
Kaytranada,10% (feat. Kali Uchis),BUBBA,2019,True
KAYTRANADA,Glowed Up,99.9%,2016,True
Kaytranada,Glowed Up (feat. Anderson .Paak),99.9%,2016,True
Kaytranada,Lite Spots,99.9%,2016,True
Kendrick Lamar,Wesley's Theory,To Pimp A Butterfly,2015,True
Mac DeMarco,Chamber of Reflection,Salad Days,2014,True
Mura Masa,Firefly,Someday Somewhere,2015,True
Mura Masa,Love$ick (feat. A$AP Rocky),Mura Masa,2016,True
Tame Impala,The Less I Know the Better,Currents,2015,True
The Internet,Come Over,Hive Mind,2018,True
The Internet,Girl,Ego Death,2015,True
Thundercat,Dragonball Durag,It Is What It Is,2020,True
Thundercat,Them Changes,Drunk,2015,True
Toro y Moi,Laws of the Universe,Outer Peace,2015,True
Toro y Moi,New Beat,Underneath The Pine,2010,True
Vulfpeck,Back Pocket,Thrill of the Arts,2015,True
Vulfpeck,Dean Town,The Beautiful Game,2016,True
