Artist,Title,Album,Year,Validated
Miles Davis,So What,,1959,True
Miles Davis,Blue in Green,,1959,True
Miles Davis,Flamenco Sketches,,1959,True
Miles Davis,All Blues,,1959,True
Bill Evans,Peace Piece,,1958,True
Bill Evans,Waltz for Debby,,1961,True
Bill Evans,My Foolish Heart,,1961,True
The Dave Brubeck Quartet,Take Five,,1959,True
The Dave Brubeck Quartet,Blue Rondo à la Turk,,1959,True
Stan Getz & João Gilberto,The Girl from Ipanema,,1964,True
Stan Getz & João Gilberto,Corcovado (Quiet Nights of Quiet Stars),,1964,True
Stan Getz & Charlie Byrd,Desafinado,,1962,True
Antônio Carlos Jobim,Wave,,1967,True
Antônio Carlos Jobim,Triste,,1967,True
Antônio Carlos Jobim,Dindi,,1967,True
Antônio Carlos Jobim,Meditation (Meditação),,1962,True
João Gilberto,Chega de Saudade,,1959,True
Astrud Gilberto,The Shadow of Your Smile,,1965,True
Astrud Gilberto,Água de Beber,,1965,True
Sérgio Mendes & Brasil '66,Mas Que Nada,,1966,True
Luiz Bonfá,Manhã de Carnaval,,1959,True
Baden Powell,Berimbau,,1966,True
Marcos Valle,Summer Samba (So Nice),,1964,True
Vinícius de Moraes & Toquinho,Tarde em Itapoã,,1970,True
João Donato,A Rã,,1973,True
Nara Leão,O Barquinho,,1961,True
Stan Getz,Só Danço Samba,,1963,True
John Coltrane,Naima,,1959,True
John Coltrane,My Favorite Things,,1961,True
John Coltrane & Duke Ellington,In a Sentimental Mood,,1963,True
Thelonious Monk,Monk's Dream,,1963,True
Thelonious Monk,Ugly Beauty,,1968,True
Sonny Rollins,The Bridge,,1962,True
Sonny Rollins,Alfie's Theme,,1966,True
Dexter Gordon,Cheesecake,,1962,True
Dexter Gordon,I Guess I'll Hang My Tears Out to Dry,,1964,True
Hank Mobley,Soul Station,,1960,True
Hank Mobley,No Room for Squares,,1963,True
Grant Green,Idle Moments,,1963,True
Grant Green,Street of Dreams,,1964,True
Kenny Burrell,Midnight Blue,,1963,True
Wes Montgomery,Bumpin' on Sunset,,1966,True
Wes Montgomery,Four on Six,,1960,True
Herbie Hancock,Cantaloupe Island,,1964,True
Herbie Hancock,Maiden Voyage,,1965,True
Wayne Shorter,Speak No Evil,,1964,True
Wayne Shorter,Infant Eyes,,1964,True
Joe Henderson,Recorda Me,,1963,True
Eric Dolphy,Warm Canto,,1961,True
Charles Mingus,Goodbye Pork Pie Hat,,1959,True
Charles Mingus,Self-Portrait in Three Colors,,1959,True
Art Blakey & The Jazz Messengers,Moanin',,1958,True
Horace Silver,Song for My Father,,1964,True
Lee Morgan,The Sidewinder,,1963,True
Donald Byrd,Cristo Redentor,,1963,True
Lou Donaldson,Blues Walk,,1958,True
Sonny Clark,Cool Struttin',,1958,True
Kenny Dorham,Blue Bossa,,1963,True
Yusef Lateef,Love Theme from Spartacus,,1961,True
John Coltrane & Johnny Hartman,My One and Only Love,,1963,True
John Coltrane & Johnny Hartman,Lush Life,,1963,True
Bill Evans & Jim Hall,Skating in Central Park,,1962,True
Bill Evans & Jim Hall,I Hear a Rhapsody,,1962,True
Paul Desmond,Take Ten,,1963,True
Paul Desmond,Emily,,1969,True
Gerry Mulligan,Night Lights,,1963,True
Stan Getz & Charlie Byrd,Samba Triste,,1962,True
Cannonball Adderley,Autumn Leaves,,1958,True
Cannonball Adderley,"Mercy, Mercy, Mercy",,1966,True
Freddie Hubbard,Little Sunflower,,1967,True
Freddie Hubbard,Up Jumped Spring,,1961,True
Ahmad Jamal,Poinciana,,1958,True
Oscar Peterson,Hymn to Freedom,,1962,True
Oscar Peterson,You Look Good to Me,,1964,True
Ramsey Lewis Trio,The 'In' Crowd,,1965,True
McCoy Tyner,Search for Peace,,1967,True
McCoy Tyner,Passion Dance,,1967,True
Wayne Shorter,Footprints,,1966,True
Jackie McLean,Appointment in Ghana,,1959,True
Andrew Hill,Black Fire,,1963,True
Bobby Hutcherson,Little B's Poem,,1965,True
Stan Tracey,Starless and Bible Black,,1965,True
Charles Lloyd,Forest Flower: Sunrise,,1967,True
Pharoah Sanders,Colors,,1970,True
Nina Simone,Wild Is the Wind,,1966,True
Nina Simone,"I Loves You, Porgy",,1958,True
Sarah Vaughan,Misty,,1959,True
Ella Fitzgerald,Cry Me a River,,1961,True
Nancy Wilson & Cannonball Adderley,The Old Country,,1962,True
Tony Bennett & Bill Evans,Some Other Time,,1975,True
João Gilberto,Insensatez,,1961,True
Stan Getz & João Gilberto,O Grande Amor,,1964,True
Horace Silver,Peace,,1959,True
Duke Ellington & John Coltrane,My Little Brown Book,,1963,True
