Artist,Title,Album,Year,Validated
Mercedes Sosa,Alfonsina Y El Mar,Mercedes Sosa En Argentina (En Directo),2020,True
Mercedes Sosa,Gracias A La Vida,Mercedes Sosa Gravado Ao Vivo No Brasil,2020,True
Mercedes Sosa,Como La Cigarra,Mercedes Sosa En Argentina (En Directo),2011,True
Mercedes Sosa,Canción Con Todos,Mercedes Sosa Gravado Ao Vivo No Brasil,2020,True
Mercedes Sosa,Sólo Le Pido A Dios,Mercedes Sosa En Argentina (En Directo),1993,True
Mercedes Sosa,Todo Cambia,¿Será Posible El Sur,2020,True
Mercedes Sosa,Juana Azurduy,Oro,2021,True
Mercedes Sosa,"Duerme, Negrito",Mercedes Sosa Gravado Ao Vivo No Brasil,2020,True
Mercedes Sosa,Zamba Para No Morir,Grandes Éxitos Vol. 1,2020,True
Mercedes Sosa,Balderrama,Voz Y Sentimiento,2011,True
Atahualpa Yupanqui,El Arriero,Piedra y camino,2025,True
Atahualpa Yupanqui,Luna Tucumana,Quejido De Guitarra,2025,True
Atahualpa Yupanqui,Los Ejes de Mi Carreta,Quejido De Guitarra,1998,True
Atahualpa Yupanqui,Camino del Indio,Piedra y camino,2017,True
Atahualpa Yupanqui,Zamba del Grillo,La Humilde,2015,True
Jorge Cafrune,El Orejano,Que Seas Vos,2002,True
Jorge Cafrune,No Soy de Aquí... Ni Soy de Allá,Mis 30 Mejores Canciones,2020,True
Horacio Guarany,Si Se Calla el Cantor,El Potro,2012,True
Horacio Guarany,Caballo Que No Galopa,Cuando Estabamos Lejos,2012,True
Horacio Guarany,La Villerita,Sole y Horacio juntos por Única Vez (Grabado en Vivo en el Luna Park),2006,True
Los Chalchaleros,La López Pereyra,Siempre Chalcha,2016,True
Los Chalchaleros,Zamba de Vargas,El Arriero Va,2016,True
Los Chalchaleros,La Nochera,Un Canto de 40 Años - Vol. 1,2016,True
Los Fronterizos,Zamba del Pañuelo,Guitarra Trasnochada,2015,True
Los Fronterizos,La Peregrinación,La Peregrinación,1976,True
Los Manseros Santiagueños,Añoranzas,Los 15 Años de Los Manseros Santiagueños,1978,True
Los Carabajal,Entre a Mi Pago Sin Golpear,Como Pajaros en el Aire,2006,True
Los Carabajal,La Flor Azul,Serie De Oro,2012,True
Peteco Carabajal,La Estrella Azul,Memoria de Amor,2009,True
Peteco Carabajal,Perfume de Carnaval,La Juntada,2008,True
Soledad,Tren Del Cielo,Libre,2005,True
Soledad,A Don Ata,Poncho Al Viento,2005,True
Soledad,Adonde Vayas,Adonde Vayas,2003,True
Chaqueño Palavecino,La Ley y La Trampa,La Ley Y La Trampa,2005,True
Chaqueño Palavecino,Amor Salvaje,De Gira (En Vivo),2005,True
Los Nocheros,La Yapa,Signos,2006,True
Los Nocheros,Chacarera Del Rancho,Signos,2006,True
Los Nocheros,Entre La Tierra y El Cielo,Signos,2024,True
Dúo Coplanacu,Chacarera de las Piedras,El Encuentro (En Vivo),2015,True
Raly Barrionuevo,Ey Paisano,Ey Paisano,2000,True
Los Tekis,Hasta el Otro Carnaval,Hijos de la Tierra,2014,True
Ramona Galarza,Kilometro 11,Correntinas (En Vivo),2022,True
Ramona Galarza,Merceditas,Coleccion Aniversario,2005,True
Ramona Galarza,Pueblero de Alla Ite,Ramona Galarza,2020,True
Ramona Galarza,Posadeña Linda,Ramona Galarza,2020,True
Los Alonsitos,Puente Pexoa,Dejate Querer,2015,True
Los Alonsitos,Kilómetro 11,Origen,2020,True
Los Alonsitos,Eterno Amor,Eterno Amor,2020,True
Los Alonsitos,Niña del Ñangapirí,Chamame,2015,True
Los Alonsitos,Posadeña Linda,Origen,2015,True
