Artist,Title,Album,Year,Validated
Al Green,Let's Stay Together,Let's Stay Together,1971,True
Aretha Franklin,Respect,I Never Loved a Man the Way I Love You,1967,True
Average White Band,Pick Up the Pieces,Average White Band,1974,True
Betty Wright,Clean Up Woman,I Love The Way You Love,1971,True
Bill Withers,Use Me,Still Bill,1972,True
Bobby Womack,Across 110th Street,Midnight Mover: The Bobby Womack Story,1972,True
Booker T. & the MG's,Green Onions,Green Onions,1962,True
Charles Wright & the Watts 103rd Street Rhythm Band,Express Yourself,Express Yourself,1970,True
Chic,Good Times,Risqué,1979,True
Chic,Le Freak,C'est Chic,1978,True
Commodores,Easy,Commodores,1977,True
Curtis Mayfield,Freddie's Dead,Superfly (Original Soundtrack),1972,True
Curtis Mayfield,Move On Up,Curtis,1970,True
Curtis Mayfield,Superfly,Superfly (Original Soundtrack),1972,True
Donny Hathaway,Someday We'll All Be Free,Extension of a Man,1973,True
"Earth, Wind & Fire",September,"The Best of Earth, Wind & Fire, Vol. 1",1978,True
"Earth, Wind & Fire",Shining Star,That's The Way Of The World,1975,True
Funkadelic,One Nation Under a Groove,One Nation Under a Groove,1978,True
Gil Scott-Heron,The Revolution Will Not Be Televised,Pieces of a Man,1971,True
Isaac Hayes,Theme from Shaft,Shaft,1971,True
James Brown,Get Up (I Feel Like Being a) Sex Machine,Sex Machine,1970,True
James Brown,Get Up Offa That Thing,Get Up Offa That Thing,1976,True
Kool & The Gang,Get Down on It,Something Special,1981,True
Kool & The Gang,Jungle Boogie,Wild And Peaceful,1973,True
Labelle,Lady Marmalade,Nightbirds,1974,True
Marvin Gaye,I Heard It Through the Grapevine,In The Groove,1968,True
Minnie Riperton,Lovin' You,Perfect Angel,1975,True
Ohio Players,Fire,Fire,1974,True
Parliament,Give Up the Funk (Tear the Roof Off the Sucker),Mothership Connection,1976,True
Prince,Kiss,Parade - Music from the Motion Picture Under the Cherry Moon,1986,True
Ray Charles,What'd I Say,What'd I Say,1959,True
Rick James,Give It to Me Baby,Street Songs,1981,True
Roy Ayers,Everybody Loves the Sunshine,Everybody Loves the Sunshine,1976,True
Sly & The Family Stone,Dance to the Music,Dance To The Music,1968,True
Sly & The Family Stone,Family Affair,There's a Riot Goin' On,1971,True
Sly & The Family Stone,Thank You (Falettinme Be Mice Elf Agin),Greatest Hits,1969,True
Stevie Wonder,Higher Ground,Innervisions,1973,True
Stevie Wonder,Superstition,Talking Book,1972,True
The Brothers Johnson,Strawberry Letter 23,Right On Time,1977,True
The Commodores,Brick House,Commodores,1977,True
The Gap Band,You Dropped a Bomb on Me,The Gap Band IV,1982,True
The Isley Brothers,That Lady,3+3,1973,True
The Jackson 5,I Want You Back,Diana Ross Presents The Jackson 5,1969,True
The Meters,Cissy Strut,The Meters,1969,True
The O'Jays,Love Train,Back Stabbers,1972,True
The Spinners,I'll Be Around,Spinners,1972,True
The Temptations,Papa Was a Rollin' Stone,All Directions,1972,True
Tower of Power,What Is Hip?,Tower Of Power,1973,True
War,Low Rider,Why Can't We Be Friends,1975,True
Marvin Gaye;Tammi Terrell,Ain't No Mountain High Enough,United,1967,True
The Temptations,My Girl,The Temptations Sing Smokey,1965,True
Otis Redding,(Sittin' On) the Dock of the Bay - Mono,The Dock of the Bay (Mono),1968,True
Dusty Springfield,Son Of A Preacher Man,Dusty In Memphis,1969,True
"Earth, Wind & Fire",Let's Groove,Raise!,1981,True
The Jacksons,Blame It on the Boogie,Destiny,1978,True
Etta James,At Last,At Last!,1960,True
Bill Withers,Lean on Me,Still Bill,1972,True
Marvin Gaye,Mercy Mercy Me (The Ecology),What's Going On,1971,True
Luther Vandross,Never Too Much,Never Too Much,1981,True
Kool & The Gang,Celebration,Celebrate!,1980,True
Diana Ross,I'm Coming Out,Diana,1980,True
Marvin Gaye,What's Going On,What's Going On,1971,True
Marvin Gaye,Let's Get It On,Let's Get It On,1973,True
James Brown,I Got You (I Feel Good),I Got You (I Feel Good),1965,True
Aretha Franklin,Chain of Fools,Lady Soul,1967,True
Stevie Wonder,Sir Duke,Songs in the Key of Life,1976,True
Sam & Dave,Soul Man,Soul Men,1967,True
The Temptations,Ain't Too Proud to Beg,Gettin' Ready,1966,True
