Artist,Title,Album,Year,Validated
Édith Piaf,La Vie en Rose,de l'accordeoniste a milord,1986,True
Domenico Modugno,Volare,Mr. Volare persönlich,2019,True
Astrud Gilberto,The Girl from Ipanema,Gilberto Golden Japanese Album,1970,True
Édith Piaf,"Non, Je Ne Regrette Rien",Eternelle,1987,True
Luciano Pavarotti,O Sole Mio,All-Star Tenors Salute The World,1963,True
Jorge Ben / Mendes,Mas Que Nada,Universal Heartbeat 2022,2022,True
Charles Aznavour,La Bohème,La bohème,1966,True
Toto Cutugno,L’Italiano,L'Italiano,1983,True
Jacques Brel,Ne Me Quitte Pas,Ne Me Quitte Pas,1984,True
Umberto Tozzi,Ti Amo,E' nell' aria…ti amo,1977,True
Claude François,Comme d’Habitude,Hommages,1993,True
Elis Regina / Tom Jobim,Aguas de Março,Elis & Tom,1974,True
Ricchi e Poveri,Sarà perché ti amo,...E Penso A Te,1981,True
Andrea Bocelli,Con te partirò,Bocelli,1995,True
Vinícius de Moraes,Garota de Ipanema,Vinicius de Moraes en Argentina (Edición 50 Aniversario),1970,True
Mina,Se Telefonando,Studio Uno '66,1966,True
Mina & Alberto Lupo,Parole Parole,Vic Van De Reijt presenteert Italiano!,2012,True
Al Bano & Romina Power,Felicità,Felicità,1982,True
Laura Pausini,La solitudine,Laura Pausini,1993,True
Various,Bella Ciao,Dünya Devrim Şarkıları,1997,True
Charles Trenet,La Mer,La Mer,1946,True
Raffaella Carrà,A far l'amore comincia tu,Forte forte forte,1976,True
Gipsy Kings,Bamboléo,Gipsy Kings,1987,True
Cesária Évora,Sodade,Miss Perfumado,1992,True
Dalida & Alain Delon,"Paroles, paroles",Julien,1973,True
Miriam Makeba,Pata Pata,Pata Pata,1967,True
Manu Dibango,Soul Makossa,Soul Makossa,1972,True
Youssou N'Dour & Neneh Cherry,7 Seconds,The Guide (Wommat),1994,True
Mory Kanté,Yé ké yé ké,Akwaba Beach,1987,True
Khaled,Aïcha,Sahra,1996,True
Ofra Haza,Im Nin'alu,Shaday,1988,True
Rachid Taha,Ya Rayah,Diwân,1998,True
Angélique Kidjo,Agolo,Ayé,1994,True
Master KG feat. Nomcebo Zikode,Jerusalema,Jerusalema,2020,True
Fela Kuti,Water No Get Enemy,Expensive Shit,1975,True
Mulatu Astatke,Yèkèrmo Sèw,"Ethio Jazz 1969-1974, Vol. 1",1969,True
Ali Farka Touré with Ry Cooder,Ai Du,Talking Timbuktu,1994,True
Amadou & Mariam,Sabali,Welcome to Mali,2008,True
Kyu Sakamoto,Sukiyaki,Sukiyaki,1961,True
Panjabi MC,Mundian To Bach Ke,The Album,2003,True
A. R. Rahman,Jai Ho,Slumdog Millionaire,2008,True
Yellow Magic Orchestra,Rydeen,Solid State Survivor,1979,True
Buena Vista Social Club,Chan Chan,Buena Vista Social Club,1997,True
Celia Cruz,La Vida Es un Carnaval,Mi Vida Es Cantar,1998,True
Pérez Prado,Mambo No. 5,Mambo No. 5,1949,True
Trio Los Panchos,Bésame Mucho,Bésame Mucho,1964,True
Kaoma,Lambada,Worldbeat,1989,True
Los Del Río,Macarena (Bayside Boys Remix),Fiesta Macarena,1996,True
Mikis Theodorakis,Zorba's Dance,Zorba the Greek,1964,True
Django Reinhardt & Stéphane Grappelli,Minor Swing,Minor Swing,1937,True
Nena,99 Luftballons,Nena,1983,True
Falco,Rock Me Amadeus,Falco 3,1985,True
Goran Bregović,Ederlezi,,1988,True
Sigur Rós,Hoppípolla,Takk...,2005,True
Plastic Bertrand,Ça plane pour moi,An 1,1978,True
O-Zone,Dragostea Din Tei,DiscO-Zone,2003,True
Tarkan,Şımarık,Ölürüm Sana,1997,True
Amr Diab,Nour El Ain,The Very Best of Amr Diab,1996,True
Khaled,Didi,Khaled,1992,True
Las Ketchup,The Ketchup Song (Aserejé),Hijas del Tomate,2002,True
Stromae,Alors on danse,Cheese,2010,True
Mariza,Ó Gente da Minha Terra,Fado em Mim,2001,True
Nana Mouskouri,Plaisir d'amour,Comme un soleil,1971,True
