Artist,Title,Album,Year,Validated
Glenn Miller,In the Mood,Pure Gold,1939,True
Benny Goodman,"Sing, Sing, Sing",Ken Burns Jazz-Benny Goodman,1938,True
Chuck Berry,Johnny B. Goode,Hail! Hail! Rock & Roll – Chuck Berry’s Greatest,1958,True
Elvis Presley,Jailhouse Rock,Platinum - A Life In Music,1957,True
Duke Ellington,Take the 'A' Train,Ellington Uptown,1941,True
Little Richard,Tutti-Frutti,Here's Little Richard,1956,True
Bill Haley & His Comets,Rock Around the Clock,Rock Around The Clock,1955,True
Eddie Cochran,Summertime Blues,12 Of His Biggest Hits,1958,True
Ritchie Valens,La Bamba,Presenting Ritchie Valens,1958,True
Jerry Lee Lewis,Great Balls of Fire,Jerry Lee's Greatest,1957,True
Frank Sinatra,Fly Me to the Moon,Sinatra/Basie: The Complete Reprise Studio Recordings,1964,True
Glenn Miller,Moonlight Serenade,Pure Gold,1939,True
Elvis Presley,Hound Dog,That's the Way It Is,1956,True
Fats Domino,Blueberry Hill,Fats Domino Swings,1957,True
Cab Calloway,Minnie the Moocher,The Hi-De-Ho Man,1931,True
Little Richard,Long Tall Sally,Here's Little Richard,1956,True
Bill Haley & His Comets,"See You Later, Alligator",Rockin' The Joint,1956,True
Danny & The Juniors,At the Hop,Rockin' With Danny And The Juniors,1957,True
Gene Vincent,Be-Bop-A-Lula,I'm Back And I'm Proud,1956,True
Buddy Holly,Peggy Sue,Buddy Holly: The Pioneer of Rock & Roll Legends,1957,True
