Artist,Title,Album,Year,Validated
2Pac,Ambitionz Az a Ridah,All Eyez On Me,1996,True
2Pac,Changes,Greatest Hits,1998,True
2Pac,Dear Mama,Me Against The World,1995,True
2Pac,Keep Ya Head Up,Strictly 4 My N.I.G.G.A.Z...,1993,True
A Tribe Called Quest,Award Tour,Midnight Marauders,1993,True
A Tribe Called Quest,Check the Rhime,The Low End Theory,1991,True
A Tribe Called Quest,Electric Relaxation,Midnight Marauders,1993,True
A Tribe Called Quest,Scenario,Scenario,1991,True
Arrested Development,Tennessee,"3 Years, 5 Months And 2 Days In The Life Of...",1992,True
Artifacts,Wrong Side of da Tracks,Between A Rock And A Hard Place,1994,True
Big Daddy Kane,Ain't No Half-Steppin',Ain't No Half-Steppin',1988,True
Big Daddy Kane,Smooth Operator,It's A Big Daddy Thing,1989,True
Big L,Ebonics,The Big Picture,1998,True
Big L,Put It On,Lifestylez Ov Da Poor & Dangerous,1995,True
Big Pun,Still Not a Player,Capital Punishment,1998,True
Biz Markie,Just a Friend,The Biz Never Sleeps,1989,True
Black Sheep,The Choice Is Yours (Revisited),A Wolf In Sheep's Clothing,1991,True
Black Star,Definition,Mos Def & Talib Kweli Are Black Star,1998,True
Black Star,Respiration,Mos Def & Talib Kweli Are Black Star,1998,True
Bone Thugs-N-Harmony,1st of tha Month,E. 1999 Eternal,1995,True
Bone Thugs-N-Harmony,Tha Crossroads,E. 1999 Eternal,1996,True
Boogie Down Productions,My Philosophy,By All Means Necessary,1988,True
Boogie Down Productions,South Bronx,Criminal Minded,1987,True
Brand Nubian,Slow Down,One for All,1990,True
Camp Lo,Luchini AKA This Is It,Uptown Saturday Night,1997,True
Common,I Used to Love H.E.R.,Resurrection,1994,True
Common,Resurrection,Resurrection,1994,True
Common,The Light,Like Water For Chocolate,2000,True
Company Flow,8 Steps to Perfection,Funcrusher Plus,1997,True
Das EFX,They Want EFX,Dead Serious,1992,True
De La Soul,Me Myself and I,3 Feet High and Rising,1989,True
De La Soul,Stakes Is High,Stakes Is High,1996,True
Digable Planets,Rebirth of Slick (Cool Like Dat),Reachin' (A New Refutation Of Time And Space),1992,True
Digital Underground,The Humpty Dance,Sex Packets,1990,True
Dilated Peoples,Work the Angles,The Platform,1998,True
DJ Jazzy Jeff & The Fresh Prince,Summertime,Homebase,1991,True
DMX,Party Up (Up in Here),...And Then There Was X,1999,True
DMX,Ruff Ryders' Anthem,It's Dark And Hell Is Hot,1998,True
Dr. Dre,Nuthin' but a 'G' Thang,The Chronic,1992,True
Dr. Dre,Still D.R.E.,2001,1999,True
Dr. Dre,The Next Episode,2001,1999,True
EPMD,Strictly Business,Strictly Business,1988,True
EPMD,You Gots to Chill,Strictly Business,1988,True
Eric B. & Rakim,Eric B. Is President,Paid In Full,1986,True
Eric B. & Rakim,Microphone Fiend,Follow The Leader,1988,True
Eric B. & Rakim,Paid in Full,Paid In Full,1987,True
Fugees,Killing Me Softly With His Song,The Score,1996,True
Gang Starr,Full Clip,Full Clip: A Decade Of Gang Starr,1999,True
Gang Starr,Mass Appeal,Hard To Earn,1994,True
Gang Starr,Moment of Truth,Moment Of Truth,1998,True
Goodie Mob,Cell Therapy,Soul Food,1995,True
GZA,Liquid Swords,Liquid Swords,1995,True
House of Pain,Jump Around,House of Pain (Fine Malt Lyrics),1992,True
Ice Cube,Check Yo Self,The Predator,1992,True
Ice Cube,It Was a Good Day,The Predator,1992,True
Ice Cube,Today Was a Good Day,The Predator,1993,True
Jay-Z,Can I Live,Reasonable Doubt,1996,True
Jay-Z,Hard Knock Life (Ghetto Anthem),Vol.2... Hard Knock Life,1998,True
Jeru the Damaja,Come Clean,The Sun Rises In The East,1993,True
Jurassic 5,Concrete Schoolyard,J5,1998,True
Jurassic 5,Quality Control,Quality Control,2000,True
Kool G Rap & DJ Polo,Road to the Riches,Road to the Riches,1989,True
KRS-One,Sound of da Police,Return of the Boom Bap,1993,True
Lauryn Hill,Doo Wop (That Thing),The Miseducation of Lauryn Hill,1998,True
LL Cool J,Mama Said Knock You Out,Mama Said Knock You Out,1990,True
LL Cool J,Rock the Bells,Radio,1985,True
Lord Finesse,Hip 2 Da Game,The Awakening,1995,True
Lords of the Underground,Chief Rocka,Here Come The Lords,1993,True
Masta Ace Incorporated,Born to Roll,Sittin' On Chrome,1994,True
MC Lyte,Paper Thin,Lyte As A Rock,1988,True
Method Man,Bring the Pain,Tical,1994,True
Mobb Deep,Quiet Storm,Mobb Muzik,1999,True
Mobb Deep,Shook Ones Pt. II,The Infamous,1995,True
Mobb Deep,Survival of the Fittest,The Infamous,1995,True
Monie Love,It's a Shame (My Sister),Down to Earth,1990,True
Mos Def,Mathematics,Black On Both Sides,1999,True
Mos Def,Ms. Fat Booty,Black On Both Sides,1999,True
Nas,If I Ruled the World (Imagine That),It Was Written,1996,True
Nas,Memory Lane (Sittin' in da Park),Illmatic,1994,True
Nas,N.Y. State of Mind,Illmatic,1994,True
Nas,The World Is Yours,Illmatic,1994,True
Naughty by Nature,Hip Hop Hooray,19NaughtyIII,1993,True
Naughty by Nature,O.P.P.,Naughty By Nature,1991,True
Organized Konfusion,Stress,Stress: The Extinction Agenda,1994,True
OutKast,Elevators (Me & You),ATLiens,1996,True
OutKast,Rosa Parks,Aquemini,1998,True
OutKast,Southernplayalisticadillacmuzik,Southernplayalisticadillacmuzik,1994,True
Pete Rock & C.L. Smooth,They Reminisce Over You (T.R.O.Y.),Mecca And The Soul Brother,1992,True
Public Enemy,Don't Believe the Hype,It Takes A Nation Of Millions To Hold Us Back,1988,True
Public Enemy,Fight the Power,Fear Of A Black Planet,1989,True
Public Enemy,Rebel Without a Pause,It Takes A Nation Of Millions To Hold Us Back,1987,True
Queen Latifah,U.N.I.T.Y.,Black Reign,1993,True
Raekwon,Criminology,Only Built 4 Cuban Linx...,1995,True
Raekwon,Ice Cream,Only Built 4 Cuban Linx...,1995,True
Redman,Tonight's Da Night,Whut? Thee Album,1993,True
Salt-N-Pepa,Push It,"Hot, Cool & Vicious",1987,True
Slick Rick,Children's Story,The Great Adventures Of Slick Rick,1988,True
Slick Rick,Mona Lisa,The Great Adventures Of Slick Rick,1988,True
Snoop Dogg,Gin and Juice,Doggystyle,1993,True
Snoop Dogg,Who Am I (What's My Name)?,Doggystyle,1993,True
Souls of Mischief,93 'til Infinity,93 'til Infinity,1993,True
The Fugees,Ready or Not,The Score,1996,True
The Notorious B.I.G.,Big Poppa,Ready to Die,1994,True
The Notorious B.I.G.,Hypnotize,Life After Death,1997,True
The Notorious B.I.G.,Juicy,Ready to Die,1994,True
The Notorious B.I.G.,Mo Money Mo Problems,Life After Death,1997,True
The Pharcyde,Passin' Me By,Bizarre Ride II The Pharcyde,1992,True
The Pharcyde,Runnin',Labcabincalifornia,1995,True
The Roots,The Next Movement,Things Fall Apart,1999,True
The Roots,You Got Me,Things Fall Apart,1999,True
Tupac Shakur,California Love,All Eyez On Me,1995,True
Warren G,Regulate,Regulate… G Funk Era,1994,True
Warren G,This D.J.,Regulate… G Funk Era,1994,True
Wu-Tang Clan,C.R.E.A.M.,Enter the Wu-Tang (36 Chambers),1993,True
Wu-Tang Clan,Protect Ya Neck,Enter the Wu-Tang (36 Chambers),1993,True
Wu-Tang Clan,Triumph,Wu-Tang Forever,1997,True
N.W.A.,Fuck Tha Police,Straight Outta Compton,1988,True
