Artist,Title,Album,Year,Validated
Metallica,Enter Sandman,Metallica,1991,True
Black Sabbath,Iron Man,Paranoid,1970,True
AC/DC,Back in Black,Back in Black,1980,True
Guns N' Roses,Welcome to the Jungle,Appetite for Destruction,1987,True
Motörhead,Ace of Spades,Ace of Spades,1980,True
Ozzy Osbourne,Crazy Train,Blizzard of Ozz,1980,True
Judas Priest,Breaking the Law,British Steel,1980,True
Iron Maiden,The Trooper,Piece of Mind,1983,True
Megadeth,Symphony of Destruction,Countdown to Extinction,1992,True
Pantera,Walk,Vulgar Display of Power,1992,True
Dio,Holy Diver,Holy Diver,1983,True
Slayer,Raining Blood,Reign in Blood,1986,True
Twisted Sister,We're Not Gonna Take It,Stay Hungry,1984,True
Rage Against the Machine,Killing in the Name,Rage Against the Machine,1992,True
System of a Down,Chop Suey!,Toxicity,2001,True
Slipknot,Duality,Vol. 3: (The Subliminal Verses),2004,True
Alice Cooper,Poison,Trash,1989,True
Rob Zombie,Dragula,Hellbilly Deluxe,1998,True
Drowning Pool,Bodies,Sinner,2001,True
Skid Row,Youth Gone Wild,Skid Row,1989,True
Scorpions,Rock You Like a Hurricane,Love at First Sting,1984,True
Mötley Crüe,Kickstart My Heart,Dr. Feelgood,1989,True
Disturbed,Down with the Sickness,The Sickness,2000,True
Korn,Freak on a Leash,Follow the Leader,1998,True
Rammstein,Du hast,Sehnsucht (Remastered 2023),1997,True
Metallica,Master of Puppets,Master of Puppets,1986,True
Iron Maiden,The Number of the Beast,The Number of the Beast,1982,True
Judas Priest,Painkiller,Painkiller,1990,True
Megadeth,Holy Wars... The Punishment Due,Rust in Peace,1990,True
Slayer,Angel of Death,Reign in Blood,1986,True
Sepultura,Roots Bloody Roots,Roots,1996,True
