Artist,Title,Year,Album,Validated
alt-J,Breezeblocks,2012,An Awesome Wave,True
Alvvays,"Archie, Marry Me",2014,Alvvays,True
Arctic Monkeys,Do I Wanna Know?,2013,AM,True
Beach Fossils,Down the Line,2017,Somersault,True
Billie Eilish,Ocean Eyes,2016,Ocean Eyes,True
Bon Iver,Holocene,2011,"Bon Iver, Bon Iver",True
Cage the Elephant,Come a Little Closer,2013,Melophobia,True
Clairo,Sofia,2019,Immunity,True
Courtney Barnett,Pedestrian at Best,2015,"Sometimes I Sit And Think, And Sometimes I Just Sit",True
Fleet Foxes,White Winter Hymnal,2008,Fleet Foxes,True
Florence + The Machine,Dog Days Are Over,2008,Lungs,True
Foals,Mountain at My Gates,2015,What Went Down,True
Glass Animals,Heat Waves,2020,Dreamland,True
Grizzly Bear,Sleeping Ute,2012,Shields,True
Haim,The Wire,2013,Days Are Gone,True
Japanese Breakfast,Be Sweet,2021,Jubilee,True
Lana Del Rey,Mariners Apartment Complex,2019,Norman Fucking Rockwell!,True
Lorde,Ribs,2013,Pure Heroine,True
Mac DeMarco,Chamber of Reflection,2014,Salad Days,True
Metronomy,The Bay,2011,The English Riviera,True
MGMT,Electric Feel,2007,Oracular Spectacular,True
Mitski,Nobody,2018,Be the Cowboy,True
Modest Mouse,Lampshades on Fire,2015,Strangers to Ourselves,True
Of Monsters and Men,Little Talks,2011,My Head Is An Animal,True
Phoenix,Lisztomania,2009,Wolfgang Amadeus Phoenix,True
Real Estate,Darling,2017,In Mind,True
Tame Impala,Let It Happen,2015,Currents,True
Tame Impala,The Less I Know the Better,2015,Currents,True
The 1975,Love It If We Made It,2018,A Brief Inquiry Into Online Relationships,True
The 1975,Somebody Else,2016,"I like it when you sleep, for you are so beautiful yet so unaware of it",True
The Shins,New Slang,2001,"Oh, Inverted World",True
The Strokes,Someday,2001,Is This It,True
The War on Drugs,Red Eyes,2014,Lost In The Dream,True
The xx,Intro,2009,Another Day At The Office,True
Two Door Cinema Club,Something Good Can Work,2010,Tourist History,True
Vampire Weekend,Diane Young,2013,Modern Vampires of the City,True
Vampire Weekend,Harmony Hall,2019,Father of the Bride,True
