Artist,Title,Album,Year,Validated
Édith Piaf,La Vie en Rose,,,False
Domenico Modugno,Volare,,,False
Astrud Gilberto,The Girl from Ipanema,,,False
Édith Piaf,"Non, Je Ne Regrette Rien",,,False
Luciano Pavarotti,O Sole Mio,,,False
Jorge Ben / Mendes,Mas Que Nada,,,False
Charles Aznavour,La Bohème,,,False
Toto Cutugno,L’Italiano,,,False
Jacques Brel,Ne Me Quitte Pas,,,False
Umberto Tozzi,Ti Amo,,,False
Claude François,Comme d’Habitude,,,False
Elis Regina / Tom Jobim,Aguas de Março,,,False
Ricchi e Poveri,Sarà perché ti amo,,,False
Andrea Bocelli,Con te partirò,,,False
Vinícius de Moraes,Garota de Ipanema,,,False
Various,Bella Ciao,,,False
Mina,Se Telefonando,,,False
Mina & Alberto Lupo,Parole Parole,,,False
Al Bano & Romina Power,Felicità,,,False
Laura Pausini,La solitudine,,,False
