Artist,Title,Album,Year,Validated
Altan,A Tune for Frankie,Blackwater,1997,True
Altan,Dulaman,Island Angel,1987,True
Altan,Gleanntáin Ghlas' Ghaoth Dobhair,Runaway Sunday,1992,True
Altan,Mo Choill,Harvest Storm,1992,True
Altan,The Sunset,Altan,1992,True
Andy Irvine,Love to Be With You,Rude Awakenings,1999,True
Andy Irvine,My Heart's Tonight in Ireland,Rain On The Roof,1986,True
Andy Irvine,Rainy Sundays,Rainy Sundays...Windy Dreams,1986,True
Cara Dillon,The Lark in the Clear Air,Cara Dillon,2001,True
Celtic Thunder,Danny Boy,Act Two,2008,True
Celtic Thunder,Fields of Athenry,Celtic Thunder Odyssey,2008,True
Celtic Thunder,My Land,Celtic Roots,2008,True
Celtic Thunder,You'll Never Walk Alone,Inspirational,2008,True
Celtic Woman,Caledonia,A New Journey,2006,True
Celtic Woman,Danny Boy,Celtic Woman,2004,True
Celtic Woman,Orinoco Flow,Celtic Woman,2005,True
Celtic Woman,The Voice,A New Journey,2005,True
Christy Moore,Black Is the Colour,Live At The Point,1975,True
Christy Moore,Lisdoonvarna,Ride On,1991,True
Christy Moore,Ordinary Man,Ordinary Man,1989,True
Christy Moore,Ride On,Ride On,1984,True
Christy Moore,The Voyage,Voyage,1989,True
Clannad,In a Lifetime,Macalla,1986,True
Clannad,Newgrange,Magical Ring,1982,True
Clannad,Robin (The Hooded Man),Lore,1986,True
Clannad,Something to Believe In,Sirius,1987,True
The Dubliners,The Wild Rover,The Dubliners,1964,False
Clannad,Theme from Harry's Game,Magical Ring,1982,False
The Cranberries,Zombie,No Need to Argue,1994,False
Damien Dempsey,It's All Good,They Don't Teach This Shit in School,2005,True
Damien Dempsey,Sing All Our Cares Away,Shots,2005,True
Damien Rice,9 Crimes,9,2006,True
Damien Rice,Cannonball,O,2002,True
Damien Rice,Delicate,O,2003,True
Damien Rice,The Blower's Daughter,O,2001,True
Damien Rice,Volcano,O,2002,True
Dolores Keane,Caledonia,Dolores Keane,1986,True
Dolores Keane,Galway Bay,Sail Óg Rua,1992,True
Enya,Anywhere Is,The Memory of Trees,1995,True
Enya,Caribbean Blue,Shepherd Moons,1991,True
Enya,May It Be,The Very Best of Enya,2001,True
Enya,Only Time,A Day Without Rain,2000,True
Enya,Orinoco Flow,Watermark,1988,True
Flook,The Tortoise and the Hare,Haven,2002,True
Gaelic Storm,Beggarman,Tree,2010,True
Gaelic Storm,Drink the Night Away,Herding Cats,1998,True
Gaelic Storm,Scalliwag,Bring Yer Wellies,2004,True
Gaelic Storm,Tell Me Ma,Gaelic Storm,1997,True
Gaelic Storm,The Leaving of Liverpool,Gaelic Storm,2000,True
Gaelic Storm,The Storm,Gaelic Storm,1998,True
Glen Hansard,Bird of Sorrow,Rhythm And Repose,2015,True
Glen Hansard,Falling Slowly,The Swell Season,2008,True
Glen Hansard,Love Don't Leave Me Waiting,Rhythm And Repose,2015,True
Glen Hansard,Say It to Me Now,Once (Music From The Motion Picture),2007,True
Glen Hansard,When Your Mind's Made Up,The Swell Season,2007,True
Hozier,Cherry Wine,Hozier,2016,True
Hozier,From Eden,Hozier,2014,True
Hozier,Nina Cried Power,"Wasteland, Baby!",2018,True
Hozier,Someone New,Hozier,2014,True
Hozier,Take Me to Church,Hozier,2013,True
Johnny McEvoy,Mursheen Durkin,Celebration,1966,True
Johnny McEvoy,Nora,Celebration,1971,True
Johnny McEvoy,The Boston Burglar,Celebration,1968,True
Karan Casey,She Is Like the Swallow,Songlines,1997,True
Lankum,Cold Old Fire,Cold Old Fire,2019,True
Lankum,The Young People,The Livelong Day,2016,True
Lisa Hannigan,Fall,At Swim,2017,True
Lisa Hannigan,I Don't Know,Sea Sew,2011,True
Lisa Hannigan,Lille,Sea Sew,2008,True
Lisa Hannigan,O Sleep,Passenger,2013,True
Lisa Hannigan,Passenger,Passenger,2011,True
Luka Bloom,Black Is the Colour,Turf,1990,True
Luka Bloom,City of Chicago,Innocence,1990,True
Lunasa,Morning Nightcap,The Merry Sisters of Fate,2010,True
Lunasa,The Last Pint,Lúnasa with the Rté Concert Orchestra,2014,True
Lunasa,The Merry Sisters of Fate,The Merry Sisters of Fate,2001,True
Mary Black,Columbus,No Frontiers,1988,True
Mary Black,No Frontiers,No Frontiers,1989,True
Mary Black,Past the Point of Rescue,No Frontiers,1991,True
Mary Black,Shine,Shine,1993,True
Mary Black,Song for Ireland,Collected,1983,True
Moving Hearts,Hiroshima Nagasaki Russian Roulette,The Platinum Collection,1982,True
Paddy Casey,Saints & Sinners,Living,2003,True
Paul Brady,Arthur McBride,Andy Irvine & Paul Brady,1978,True
Paul Brady,Nobody Knows,Trick or Treat,1991,True
Paul Brady,Paradise Is Here,Primitive Dance,1991,True
Planxty,Arthur McBride,Planxty,1976,True
Planxty,Blacksmith,Planxty,1973,True
Planxty,Raggle Taggle Gypsy,Planxty,1973,True
Planxty,The Blacksmith,Planxty,1973,True
Planxty,The Well Below the Valley,The Well Below The Valley,1975,True
Planxty,When First Unto This Country,"Between the Jigs and the Reels, A Retrospective",1975,True
Sharon Shannon,Cavan Potholes,Spellbound: The Best of Sharon Shannon,1991,True
Sharon Shannon,Galway Girl,The Diamond Mountain Sessions,1997,True
Sinead O'Connor,Molly Malone,Sean-Nós Nua,2002,True
Sinead O'Connor,The Foggy Dew,The Long Black Veil,1995,True
The Bothy Band,The Butterfly,1975,1975,True
The Chieftains,I Know My Love,Tears Of Stone,1999,True
The Chieftains,O’Sullivan's March,The Chieftains 7,1969,True
The Chieftains,The Foggy Dew,The Long Black Veil,1967,True
The Chieftains,The Long Black Veil,The Long Black Veil,1995,True
The Chieftains,The Mason's Apron,An Irish Evening,1973,True
The Clancy Brothers,Brennan on the Moor,The Clancy Brothers and Tommy Makem,1962,True
The Clancy Brothers,Johnny I Hardly Knew Ye,Hearty and Hellish!,1964,True
The Clancy Brothers,The Parting Glass,Come Fill Your Glass with Us,1964,True
The Clancy Brothers,The Rising of the Moon,The Rising of the Moon: Irish Songs of Rebellion,1961,True
The Clancy Brothers,The Wild Rover,Live on St. Patrick's Day,1962,True
The Clancy Brothers,Whiskey You're the Devil,Come Fill Your Glass with Us,1962,True
The Clancy Brothers,Wild Rover,Live in Ireland,1967,True
The Corrs,Runaway,"Forgiven, Not Forgotten",1995,True
The Corrs,Toss the Feathers,"Forgiven, Not Forgotten",1995,True
The Dubliners,McAlpine's Fusiliers,Dubliner's Ireland,1968,True
The Dubliners,Rocky Road to Dublin,Live At Vicar Street,1964,True
The Dubliners,Seven Drunken Nights,The Essential Collection,1967,True
The Dubliners,The Auld Triangle,Original Dubliners,1967,True
The Dubliners,The Black Velvet Band,Original Dubliners,1967,True
The Dubliners,The Fields of Athenry,Live At The Gaiety,1983,True
The Dubliners,The Irish Rover,Live At Vicar Street,1987,True
The Dubliners,Whiskey in the Jar,Irish Drinking Songs,1965,True
The Gloaming,Samhradh Samhradh,The Gloaming,2014,True
The Gloaming,The Sailor's Bonnet,The Gloaming,2014,True
The High Kings,The Parting Glass,The High Kings,2008,True
The High Kings,Whiskey in the Jar,Memory Lane,2008,True
The Irish Rovers,Drunken Sailor,40 Years a-Rovin',1968,True
The Irish Rovers,The Unicorn,The Unicorn,1967,True
The Pogues,Dirty Old Town,Rum Sodomy & The Lash,1985,True
The Pogues,Streams of Whiskey,Red Roses for Me,1984,True
The Pogues,Thousands Are Sailing,If I Should Fall from Grace with God,1988,True
The Wolfe Tones,A Nation Once Again,1916 Remembered. The Easter Rising.,1964,True
Tommy Makem,Four Green Fields,In The Dark Green Wood,1965,True
Tommy Makem,Gentle Annie,The Makem and Clancy Collection,1966,True
Tommy Makem,Red is the Rose,Two For The Early Dew,1970,True
Tommy Makem,The Bold Fenian Men,The Bold Fenian Men,1963,True
Van Morrison,Celtic Ray,Beautiful Vision,1982,True
Van Morrison,Into the Mystic,Moondance,1970,True
Clannad,Theme from Harry's Game,Magical Ring,1982,True
