Artist,Title,Album,Year,Validated
Alejandra Guzmán,Eternamente Bella,,1990,True
Alejandra Guzmán,Hacer el Amor Con Otro,,1992,True
Alejandra Guzmán,Míralo Mírala,,1992,True
Alejandra Guzmán,Yo Te Esperaba,,1992,True
Alejandro Sanz,Amiga Mía,,1997,True
Alejandro Sanz,Corazón Partío,,1997,True
Alejandro Sanz,Quisiera Ser,,2000,True
Alejandro Sanz,Y Solo Se Me Ocurre Amarte,,2000,True
Ana Gabriel,Simplemente Amigos,,1989,True
Ana Torroja,Sonrisa,,1997,True
Aterciopelados,Bolero Falaz,,1995,True
Azúcar Moreno,Bandido,,1990,True
Babasónicos,Putita,,2001,True
Bacilos,Caraluna,,2002,True
Belinda,Boba Niña Nice,,2003,True
Belinda,Lo Siento,,2003,True
Belinda,Vivir,,2006,True
Bersuit Vergarabat,La Argentinidad al Palo,,2004,True
Café Tacvba,Ingrata,,1994,True
Caifanes,No Dejes Que,,1988,True
Camila,Abrázame,,2008,True
Camila,Coleccionista de Canciones,,2006,True
Camila,Mientes,,2006,True
Camila,Todo Cambió,,2006,True
Carlos Vives,Carito,,2004,True
Carlos Vives,Fruta Fresca,,2001,True
Carlos Vives,La Tierra del Olvido,,1995,True
Carlos Vives,Pa' Mayte,,2004,True
Carlos Vives & Shakira,La Bicicleta,,2016,True
Chancho en Piedra,Eligiendo una Reina,,1995,True
Charly García,Demoliendo Hoteles,,1984,True
Chayanne,Baila Baila,,1998,True
Chayanne,Dejaría Todo,,1998,True
Chayanne,Provócame,,2000,True
Chayanne,Salomé,,1998,True
Chayanne,Tiempo de Vals,,1990,True
Chayanne,Y Tú Te Vas,,2002,True
CNCO,Reggaetón Lento (Bailemos),,2016,True
Control Machete,Sí Señor,,1996,True
Cristian Castro,Azul,,1996,True
Daniela Romo,De Mí Enamórate,,1985,True
David Bisbal,Ave María,,2002,True
David Bisbal,Bulería,,2002,True
David Bisbal,Dígale,,2004,True
David Bisbal,Silencio,,2002,True
Diego Torres,Color Esperanza,,2001,True
Diego Torres,Guapa,,2003,True
Diego Torres,Tratar de Estar Mejor,,2004,True
Divididos,Spaghetti del Rock,,1993,True
Emmanuel,La Chica de Humo,,1986,True
Enanitos Verdes,Lamento Boliviano,,1994,True
Enrique Iglesias,Addicted,,2003,True
Enrique Iglesias,Bailamos,,1999,True
Enrique Iglesias,Bailando,,2014,True
Enrique Iglesias,Be With You,,2001,True
Enrique Iglesias,Could I Have This Kiss Forever,,1999,True
Enrique Iglesias,Don't Turn Off the Lights,,2001,True
Enrique Iglesias,Escape,,2001,True
Enrique Iglesias,Hero,,2001,True
Enrique Iglesias,Love to See You Cry,,1999,True
Enrique Iglesias,Maybe,,2001,True
Enrique Iglesias,Mentiroso,,1999,True
Enrique Iglesias,Not in Love,,2003,True
Enrique Iglesias,Oyeme,,1999,True
Enrique Iglesias,Rhythm Divine,,1999,True
Fey,Media Naranja,,1995,True
Fito Páez,11 y 6,,1985,True
Flans,No Controles,,1986,True
Gente de Zona,La Gozadera,,2015,True
Gente de Zona,Mas Macarena,,2019,True
Gloria Trevi,Pelo Suelto,,1991,True
Ha*Ash,"Perdón, Perdón",,2014,True
Inspector,Amargo Adiós,,1998,True
Jesse & Joy,Adiós,,2006,True
Jesse & Joy,Corre,,2007,True
Jesse & Joy,Espacio Sideral,,2006,True
Jesse & Joy,Llorar,,2006,True
Jesse & Joy,Volveré,,2007,True
Jesse & Joy,Ya No Quiero,,2007,True
José José,El Triste,,1970,True
José Luis Perales,Y Cómo Es Él,,1982,True
Juan Gabriel,Amor Eterno,,1984,True
Juanes,A Dios le Pido,,2002,True
Juanes,Bandera de Manos,,2010,True
Juanes,Dificil,,2002,True
Juanes,Es Por Ti,,2004,True
Juanes,Fotografía,,2002,True
Juanes,Fíjate Bien,,2004,True
Juanes,Gotas de Agua Dulce,,2010,True
Juanes,La Camisa Negra,,2004,True
Juanes,Me Enamora,,2007,True
Juanes,Nada Valgo Sin Tu Amor,,2004,True
Juanes,Para Tu Amor,,2004,True
Juanes,Rosario Tijeras,,2004,True
Juanes,Volverte a Ver,,2002,True
Julieta Venegas,Algo Está Cambiando,,2003,True
Julieta Venegas,Andar Conmigo,,2000,True
Julieta Venegas,De Mis Pasos,,2003,True
Julieta Venegas,Despechada,,2006,True
Julieta Venegas,Dulce Compañía,,2000,True
Julieta Venegas,Eres Para Mí,,2006,True
Julieta Venegas,Lento,,2003,True
Julieta Venegas,Limón y Sal,,2006,True
Julieta Venegas,Me Voy,,2000,True
Julieta Venegas,Mira la Vida,,2003,True
Julieta Venegas,Oleada,,2006,True
Julieta Venegas,Sería Feliz,,2000,True
Kabah,La Vida Que Va,,1996,True
Karol G,Provenza,,2022,True
La Ley,Mentira,,1995,True
La Santa Cecilia,Ice El Hielo,,2013,True
Laura Pausini,En Cambio No,,2008,True
Los Auténticos Decadentes,Loco,,1995,True
