Artist,Title,Year,Album,Validated
16 Bit Lolitas,Take It Or Leave It,2008,Bits & Pieces Collected Vol. 1,True
Above & Beyond,Good For Me,2006,Tri-State,True
Above & Beyond,Love Is Not Enough,2012,Group Therapy,True
Above & Beyond,No One On Earth,2004,Anjunabeats 100,True
Above & Beyond,Small Moments,2012,Flow State,True
Above & Beyond,Sun In Your Eyes,2011,Group Therapy,True
Above & Beyond,We're All We Need,2014,We Are All We Need,True
ATTLAS,Concussion,2016,Concussion,True
Audien,Wayfarer,2013,Audien Presents: 20 Years Of Anjunabeats,True
Ben Böhmer,After Earth,2016,Morning Falls EP,True
Ben Böhmer,Beyond Beliefs,2020,Begin Again,True
Ben Böhmer,Breathing,2019,Breathing,True
Ben Böhmer,In Memoriam,2017,Breathing,True
Ben Böhmer,Live in Cappadocia (Cercle),2020,Live in Cappadocia (Cercle),True
Ben Böhmer,Promise You,2018,Promise You EP,True
Ben Böhmer,Vale,2019,Dive EP,True
Ben Böhmer & Panama,Weightless,2020,Weightless,True
Bob Moses,Tearing Me Up,2015,Days Gone By,True
Bonobo,Cirrus,2013,The North Borders,True
Bonobo,Kerala,2017,Migration,True
CamelPhat & Elderbrook,Cola,2017,Cola,True
Chicane,Autumn Tactics,1999,Behind The Sun,True
Chicane,No Ordinary Morning,2000,Behind The Sun,True
Chicane,Offshore,1996,Far From The Maddening Crowds,True
Chicane,Poppiholla,2009,Giants,True
Chicane,Saltwater,1999,Behind The Sun,True
Christian Löffler,Haul,2017,Mare,True
Christian Löffler,Ry,2018,Graal (Prologue),True
Colyn,Amor,2020,Realm Of Consciousness Pt. IV,True
Colyn,Bridges In The Sky,2020,Bridges In The Sky,True
Colyn,Patterns,2019,Patterns EP,True
Colyn,Resolve,2019,Resolve,True
Cosmic Gate,Be Your Sound,2011,Wake Your Mind,True
Cosmic Gate,Falling Back,2014,Start To Feel,True
Cosmic Gate,Ibiza Sunset Set,2023,Sunsets Around The World: Ibiza Sunset Set,True
Cosmic Gate,Sunset Set - Playa del Carmen Mexico,2021,Sunsets Around The World: Playa del Carmen,True
Cosmic Gate,Yai (Here We Go Again),2015,Wake Your Mind Sessions 001,True
CRi,From Me,2020,Juvenile,True
CRi,Never Really Get There,2019,Juvenile,True
Cubicolor,No Dancers,2019,No Dancers,True
Cubicolor,Points Beyond,2020,"Hardly A Day, Hardly A Night",True
deadmau5,I Remember,2008,Random Album Title,True
deadmau5,Strobe,2009,For Lack Of A Better Name,True
DJ Koze,Pick Up,2018,Knock Knock,True
DJ Koze,XTC,2015,XTC,True
Eelke Kleijn,Ein Tag Am Strand,2010,Ein Tag Am Strand,True
