Artist,Title,Year,Album,Validated
*NSYNC,Bye Bye Bye,2000,No Strings Attached,True
*NSYNC,Tearin' Up My Heart,1998,'N Sync,True
2Pac feat. K-Ci & JoJo,How Do U Want It,1996,All Eyez on Me,True
50 Cent,In da Club,2003,Get Rich Or Die Tryin',True
Alanis Morissette,You Oughta Know,1995,Jagged Little Pill,True
Alicia Keys,Fallin',2001,Songs In A Minor,True
Ashlee Simpson,Pieces of Me,2004,Autobiography,True
Audioslave,Cochise,2002,Audioslave,True
Audioslave,Like a Stone,2003,Audioslave,True
Avril Lavigne,Complicated,2002,Let Go,True
Avril Lavigne,Girlfriend,2007,The Best Damn Thing,True
Avril Lavigne,Sk8er Boi,2002,Let Go,True
B2K feat. P. Diddy,"Bump, Bump, Bump",2002,Pandemonium!,True
Backstreet Boys,I Want It That Way,1999,Millennium,True
Backstreet Boys,Larger Than Life,1999,Millennium,True
Backstreet Boys,Quit Playing Games (With My Heart),1996,Backstreet Boys,True
Beastie Boys,Intergalactic,1998,Hello Nasty,True
Beck,Where It's At,1996,Odelay,True
Beyoncé feat. Jay-Z,Crazy in Love,2003,Dangerously in Love,True
Blackstreet feat. Dr. Dre & Queen Pen,No Diggity,1996,Another Level,True
blink-182,All the Small Things,1999,Enema Of The State,True
blink-182,Feeling This,2003,blink-182,True
Blink-182,What's My Age Again?,1999,Enema Of The State,True
Blur,Song 2,1997,Blur,True
Bon Jovi,It's My Life,2000,Crush,True
Bowling for Soup,1985,2004,A Hangover You Don't Deserve,True
Boys Like Girls,The Great Escape,2006,Boys Like Girls,True
Britney Spears,(You Drive Me) Crazy,1999,...Baby One More Time,True
Britney Spears,...Baby One More Time,1998,...Baby One More Time,True
Britney Spears,Oops!... I Did It Again,2000,Oops!... I Did It Again,True
Britney Spears,Toxic,2003,In The Zone,True
Bush,Swallowed,1996,Razorblade Suitcase,True
Cascada,Everytime We Touch,2006,Everytime We Touch,True
Chamillionaire feat. Krayzie Bone,Ridin',2006,The Sound of Revenge,True
Christina Aguilera,Genie in a Bottle,1999,Christina Aguilera,True
Christina Aguilera,What a Girl Wants,1999,Christina Aguilera,True
Chumbawamba,Tubthumping,1997,Tubthumper,True
Ciara feat. Missy Elliott,"1, 2 Step",2004,Goodies,True
Coldplay,Yellow,2000,Parachutes,True
Coolio feat. L.V.,Gangsta's Paradise,1995,Gangsta's Paradise,True
D12,Purple Pills,2001,Devils Night,True
Daft Punk,One More Time,2000,Discovery,True
Daft Punk,Technologic,2005,Human After All,True
Deftones,My Own Summer (Shove It),1997,Around the Fur,True
Destiny's Child,"Bills, Bills, Bills",1999,The Writing's On The Wall,True
Destiny's Child,Say My Name,1999,The Writing's On The Wall,True
Destiny's Child,Survivor,2001,Survivor,True
Disturbed,Down with the Sickness,2000,The Sickness,True
Eminem,Lose Yourself,2002,8 Mile: Music from and Inspired by the Motion Picture,True
Eminem,My Name Is,1999,The Slim Shady LP,True
Eminem,The Real Slim Shady,2000,The Marshall Mathers LP,True
Eminem,Without Me,2002,The Eminem Show,True
Evanescence,Bring Me to Life,2003,Fallen,True
Evanescence,Call Me When You're Sober,2006,The Open Door,True
Eve featuring Gwen Stefani,Let Me Blow Ya Mind,2001,Scorpion,True
Everclear,Father of Mine,1998,So Much For The Afterglow,True
Faithless,Insomnia,1995,Reverence,True
Fall Out Boy,"Dance, Dance",2005,From Under The Cork Tree,True
Fall Out Boy,"Sugar, We're Goin Down",2005,From Under The Cork Tree,True
Fall Out Boy,Thnks fr th Mmrs,2007,Infinity On High,True
Fastball,The Way,1998,All The Pain Money Can Buy,True
Fatboy Slim,The Rockafeller Skank,1998,You've Come a Long Way Baby,True
Fergie,Big Girls Don't Cry,2007,The Dutchess,True
Five,Everybody Get Up,1998,Five,True
Foo Fighters,The Pretender,2007,"Echoes, Silence, Patience & Grace",True
Fort Minor feat. Styles of Beyond,Remember the Name,2005,The Rising Tied,True
Fountains of Wayne,Stacy's Mom,2003,Welcome Interstate Managers,True
Franz Ferdinand,Take Me Out,2004,Franz Ferdinand,True
Gnarls Barkley,Crazy,2006,St. Elsewhere,True
Goo Goo Dolls,Iris,1998,Dizzy up the Girl,True
Goo Goo Dolls,Slide,1998,Dizzy up the Girl,True
Good Charlotte,Lifestyles of the Rich & Famous,2002,The Young and The Hopeless,True
Gorillaz,Clint Eastwood,2001,Gorillaz,True
Gorillaz,Feel Good Inc.,2005,Demon Days,True
Green Day,American Idiot,2004,American Idiot,True
Green Day,Basket Case,1994,Dookie,True
Green Day,Boulevard of Broken Dreams,2004,American Idiot,True
Green Day,Good Riddance (Time of Your Life),1997,Nimrod,True
Green Day,When I Come Around,1995,Dookie,True
Hanson,MMMBop,1997,Middle Of Nowhere,True
Jay-Z & Linkin Park,Numb/Encore,2004,Collision Course,True
Jennifer Lopez,Love Don't Cost a Thing,2001,J.Lo,True
Jennifer Lopez,Waiting for Tonight,1999,On The 6,True
Jet,Are You Gonna Be My Girl,2003,Get Born,True
Jimmy Eat World,The Middle,2001,Bleed American,True
JoJo,Leave (Get Out),2004,JoJo,True
Justin Timberlake,Cry Me a River,2002,Justified,True
Justin Timberlake feat. Timbaland,SexyBack,2006,FutureSex/LoveSounds,True
Kanye West,Stronger,2007,Graduation,True
Kanye West feat. Jamie Foxx,Gold Digger,2005,Late Registration,True
Kelly Clarkson,Behind These Hazel Eyes,2005,Breakaway,True
Kelly Clarkson,Since U Been Gone,2004,Breakaway,True
Kid Rock,Bawitdaba,1999,Devil Without a Cause,True
Korn,Freak on a Leash,1998,Follow The Leader,True
Las Ketchup,The Ketchup Song,2002,Hijas del Tomate,True
Lauryn Hill,Doo Wop (That Thing),1998,The Miseducation of Lauryn Hill,True
Lil Jon & The East Side Boyz,Get Low,2003,Kings Of Crunk,True
