Artist,Title,Album,Year,Validated
A-ha,Take On Me,,1985,True
Adele,Skyfall,,2012,True
Aerosmith,I Don't Want to Miss a Thing,,1998,True
Alan Silvestri,Back to the Future Theme,,1985,True
Bee Gees,Stayin' Alive,,1977,True
Berlin,Take My Breath Away,,1986,True
Bill Conti,Gonna Fly Now,,1977,True
Bill Medley & Jennifer Warnes,(I've Had) The Time of My Life,,1987,True
Billie Eilish,No Time To Die,,2021,True
Bobby McFerrin,Don't Worry Be Happy,,1988,True
Bobby Womack,Across 110th Street,,1972,True
Bonnie Tyler,Holding Out for a Hero,,1984,True
Celine Dion,My Heart Will Go On,,1997,True
Celine Dion & Peabo Bryson,Beauty and the Beast,,1991,True
Coolio,Gangsta's Paradise,,1995,True
Daft Punk,Derezzed,,2010,True
Danny Elfman,Batman Theme,,1989,True
Danny Elfman,The Simpsons Theme,,1989,True
David Bowie,Heroes,,1977,True
Dick Dale,Misirlou,,1962,True
Dido,Thank You,,1998,True
Elton John,Can You Feel the Love Tonight,,1994,True
Elton John,Circle of Life,,1994,True
Encanto Cast,We Don't Talk About Bruno,,2021,True
Ennio Morricone,Chi Mai,,1971,True
Ennio Morricone,The Ecstasy of Gold,,1966,True
Evanescence,Bring Me to Life,,2003,True
Florence + The Machine,Shake It Out,,2011,True
Gary Jules,Mad World,,2001,True
Grease Cast,Grease,,1978,True
Hans Zimmer,Interstellar Main Theme,,2014,True
Hans Zimmer,Time,,2010,True
Harold Faltermeyer,Axel F,,1984,True
Henry Mancini,The Pink Panther Theme,,1963,True
Huey Lewis & The News,The Power of Love,,1985,True
Idina Menzel,Let It Go,,2013,True
Imogen Heap,Hide and Seek,,2005,True
Irene Cara,Flashdance... What a Feeling,,1983,True
Joe Esposito,You're the Best,,1984,True
Joe Hisaishi,One Summer's Day,,2001,True
John Barry,James Bond Theme,,1962,True
John Williams,Indiana Jones Theme,,1981,True
John Williams,Jurassic Park Theme,,1993,True
John Williams,Star Wars Main Theme,,1977,True
John Williams,The Imperial March (Darth Vader's Theme),,1980,True
Journey,Don't Stop Believin',,1981,True
Kenny Loggins,Danger Zone,,1986,True
Kenny Loggins,Footloose,,1984,True
Labrinth & Zendaya,All for Us,,2019,True
Lady Gaga,Shallow,,2018,True
Lana Del Rey,Young and Beautiful,,2013,True
Limp Bizkit,Take a Look Around,,2000,True
Lorde,Yellow Flicker Beat,,2014,True
Ludovico Einaudi,Experience,,2013,True
Lynyrd Skynyrd,Free Bird,,1973,True
Madonna,Into the Groove,,1985,True
Mark Snow,The X-Files Theme,,1993,True
Michael Giacchino,Married Life,,2009,True
Mike Post,Law & Order Theme,,1990,True
Moby,Extreme Ways,,2002,True
Monty Norman,Dr. No Theme,,1962,True
Natalie Imbruglia,Torn,,1997,True
Olivia Newton-John & John Travolta,You're the One That I Want,,1978,True
Patrick Swayze,She's Like the Wind,,1987,True
Phil Collins,Son of Man,,1999,True
Phil Collins,Two Worlds,,1999,True
Phil Collins,You'll Be in My Heart,,1999,True
Prince,Purple Rain,,1984,True
Queen,Bohemian Rhapsody,,1975,True
Queen,Don't Stop Me Now,,1979,True
R.E.M.,Everybody Hurts,,1992,True
Ramin Djawadi,Game of Thrones Theme,,2011,True
Ramin Djawadi,Light of the Seven,,2016,True
Ramin Djawadi,Westworld Theme,,2016,True
Randy Newman,You've Got a Friend in Me,,1995,True
Ray Parker Jr.,Ghostbusters,,1984,True
Rembrandts,I'll Be There for You,,1995,True
Robin Williams,Friend Like Me,,1992,True
Rufus Wainwright,Hallelujah,,2001,True
Sam Smith,Writing's on the Wall,,2015,True
Seal,Kiss from a Rose,,1994,True
Sia,Elastic Heart,,2013,True
Simon & Garfunkel,The Sound of Silence,,1964,True
Simple Minds,Don't You (Forget About Me),,1985,True
Sixpence None the Richer,Kiss Me,,1997,True
Smash Mouth,All Star,,1999,True
Snow Patrol,Chasing Cars,,2006,True
Stealers Wheel,Stuck in the Middle with You,,1972,True
Stevie Wonder,Superstition,,1972,True
Survivor,Eye of the Tiger,,1982,True
Tears for Fears,Everybody Wants to Rule the World,,1985,True
The Bangles,Walk Like an Egyptian,,1986,True
The Clash,Should I Stay or Should I Go,,1982,True
The Fray,How to Save a Life,,2005,True
The Police,Every Breath You Take,,1983,True
The Proclaimers,I'm Gonna Be (500 Miles),,1988,True
The Rolling Stones,Gimme Shelter,,1969,True
The Seatbelts,Tank!,,1998,True
The Verve,Bitter Sweet Symphony,,1997,True
The Who,Baba O'Riley,,1971,True
Toto,Africa,,1982,True
U2,"Hold Me, Thrill Me, Kiss Me, Kill Me",,1995,True
Vangelis,Blade Runner Main Titles,,1982,True
Vangelis,Chariots of Fire,,1981,True
Whitney Houston,I Will Always Love You,,1992,True
