Artist,Title,Album,Year,Validated
Arena,Solomon,Songs from the Lion's Cage,1995,True
Arena,The Hanging Tree,The Visitor,1998,True
Arena,The Visitor,The Visitor,1998,True
Big Big Train,Victorian Brickwork,The Underfall Yard,2009,True
Comedy of Errors,Spirit,Spirit,2015,True
Credo,The Game,Rhetoric,2011,True
Flying Colors,Infinite Fire,Flying Colors,2012,True
Flying Colors,The Storm,Flying Colors,2012,True
Frost*,Black Light Machine,Milliontown,2006,True
Frost*,Milliontown,Milliontown,2006,True
Galahad,Empires Never Last,Empires Never Last,2007,True
Gazpacho,Upside Down,Night,2015,True
Haken,Cockroach King,The Mountain,2013,True
Haken,The Architect,Affinity,2016,True
IQ,Subterranea,Subterranea,1997,True
IQ,The Road of Bones,The Road of Bones,2014,True
IQ,Widow's Peak,The Wake,1993,True
Lazuli,9 Hands Around The Marimba,live @ l'Abeille rôde,2011,True
Leprous,From the Flame,Malina,2017,True
Lifesigns,At The End Of The World,Lifesigns,2017,True
Magic Pie,Change,Motions of Desire,2007,True
Magic Pie,Motions of Desire,Motions of Desire,2005,True
Marillion,Easter,Seasons End,1989,True
Marillion,Kayleigh,Misplaced Childhood,1985,True
Marillion,Neverland,Marbles,2004,True
Marillion,The Space,Seasons End,1989,True
Moon Safari,A Kid Called Panic,Lover's End,2010,True
Moon Safari,Bluebells,Blomljud,2008,True
Moon Safari,Crossed the Rubicon,Lover's End,2010,True
Moon Safari,Lover's End Pt. III: Skellefteå Serenade,Lover's End Pt. III: Skellefteå Serenade,2012,True
Moon Safari,Methuselah's Children,Blomljud,2008,True
Moon Safari,Moonwalk,Blomljud,2008,True
Moon Safari,Other Half of the Sky,Blomljud,2008,True
Mystery,Delusion Rain,Delusion Rain,2015,True
Pain of Salvation,Beyond the Pale,Remedy Lane,2002,True
Pallas,Cut and Run,The Sentinel,1984,True
Pallas,Ghostdancers,The Dreams Of Men,2005,True
Pallas,Midas Touch,The Cross & The Crucible,1990,True
Pendragon,Indigo,Pure,2008,True
Pendragon,Paintbox,The Masquerade Overture,1996,True
Pendragon,The Voyager,The World,1996,True
Porcupine Tree,Anesthetize,Fear of a Blank Planet,2007,True
Porcupine Tree,Trains,In Absentia,2002,True
Riverside,Conceiving You,Second Life Syndrome,2005,True
Riverside,Hyperactive,Anno Domini High Definition,2009,True
Riverside,Second Life Syndrome,Second Life Syndrome,2005,True
Soen,Lucidity,Lykaia,2012,True
Spock's Beard,Devil's Got My Throat,Snow,2002,True
Spock's Beard,The Light,The Light,1995,True
Steven Wilson,Drive Home,The Raven That Refused to Sing (and Other Stories),2013,True
Sylvan,Deep Inside,Artificial Paradise,2004,True
Sylvan,In Chain,Posthumous Silence,2015,True
The Flower Kings,Garden of Dreams,Flower Power,1999,True
The Flower Kings,Stardust We Are,Stardust We Are,1997,True
The Flower Kings,The Truth Will Set You Free,Unfold the Future,2002,True
The Neal Morse Band,Long Day,The Similitude of a Dream,2016,True
The Neal Morse Band,The Ways of a Fool,The Similitude of a Dream,2016,True
The Pineapple Thief,Nothing at Best,Someone Here Is Missing,2010,True
The Tangent,In Earnest,A Place In The Queue,2006,True
Threshold,Pilot in the Sky of Dreams,Dead Reckoning,2007,True
Transatlantic,All of the Above,SMPTe,2000,True
