Artist,Title,Album,Year,Validated
Ska-P,El vals del obrero,El vals del obrero,1996,True
Ska-P,Cannabis,El vals del obrero,1996,True
Ska-P,Niño soldado,¡¡Que corra la voz!!,2002,True
Ska-P,Intifada,¡¡Que corra la voz!!,2002,True
Ska-P,Planeta Eskoria,Planeta Eskoria,2000,True
Ska-P,El Gato López,El vals del obrero,1996,True
Ska-P,Crimen Sollicitationis,Lágrimas y gozos,2008,True
Ska-P,El Libertador,Lágrimas y gozos,2008,True
Ska-P,Estampida,¡¡Que corra la voz!!,2002,True
Ska-P,Ni Fu Ni Fa,Lágrimas y gozos,2008,True
Ramones,Blitzkrieg Bop,Ramones,1976,True
Ramones,I Wanna Be Sedated,Road to Ruin,1978,True
Ramones,Sheena Is a Punk Rocker,Rocket to Russia,1977,True
Ramones,Rockaway Beach,Rocket to Russia,1977,True
Sex Pistols,Anarchy in the U.K.,"Never Mind the Bollocks, Here's the Sex Pistols",1976,True
Sex Pistols,God Save the Queen,"Never Mind the Bollocks, Here's the Sex Pistols",1977,True
Sex Pistols,Pretty Vacant,"Never Mind the Bollocks, Here's the Sex Pistols",1977,True
The Clash,London Calling,London Calling,1979,True
The Clash,Should I Stay or Should I Go,Combat Rock,1982,True
The Clash,Rock the Casbah,Combat Rock,1982,True
The Clash,White Riot,The Clash,1977,True
The Clash,I Fought the Law,The Cost of Living,1979,True
The Damned,New Rose,Damned Damned Damned,1976,True
The Damned,Neat Neat Neat,Damned Damned Damned,1977,True
The Damned,Smash It Up,Machine Gun Etiquette,1979,True
Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've),Love Bites,1978,True
Buzzcocks,What Do I Get?,What Do I Get?,1978,True
Dead Kennedys,Holiday in Cambodia,Fresh Fruit for Rotting Vegetables,1980,True
Dead Kennedys,California Über Alles,Fresh Fruit for Rotting Vegetables,1979,True
Dead Kennedys,Too Drunk to Fuck,Too Drunk to Fuck,1981,True
Black Flag,Rise Above,Damaged,1981,True
Black Flag,TV Party,Damaged,1981,True
Black Flag,Nervous Breakdown,Nervous Breakdown,1978,True
Minor Threat,Minor Threat,Minor Threat,1981,True
