Artist,Title,Album,Year,Validated
Dread Mar I,Tu Sin Mi,Vivi En Do,2014,True
Kameleba,Con Vos,13 Años Teatro Vorterix,2017,True
Nonpalidece,La Flor,Nuevo Dia,2015,True
Los Cafres,Casi q' me pierdo,El Paso Gigante,2011,True
Las Pelotas,Será,Esperando el Milagro,2003,True
Resistencia Suburbana,Va a Servir,Worrrrssss!!!!,2008,True
Los Pericos,Pupilas Lejanas,Los Maxis De Los Pericos,2006,True
Fidel Nadal,International Love,International Love,2008,True
Sumo,No Tan Distintos,After Chabon,2003,True
"El Kuelgue, Zoe Gotusso",Carta Para No Llorar,,2025,True
Dancing Mood,Police Woman,Deluxe Teatro Opera (En Vivo),2008,True
Riddim,Puedo esperarte,Buenas Noticias,2010,True
"Alika, Nueva Alianza",Ejercito Despierta,Unidad & Respeto Mixtape,2013,True
Bahiano,Tarde Gris,Mucha experiencia,2022,True
Kapanga,Fumar,Kapangstock,2006,True
"Andando Descalzo, Nonpalidece",Cartagena,Paradójico,2024,True
Mamita Peyote,Déjalo Fluir,Runfla Calavera,2018,True
BlackDali,Recibir Amor,El Verbo de Fuego,2015,True
Rondamon,Puede Parecer,Sí Serás,2015,True
Leonchalon,La Respuesta,La Respuesta,2023,True
C4 Reggae Combativo,Sentí,,2023,True
Delfines de Etiopia,To Be Along,To Be Along,2022,True
Chala Rasta,Cuerpo Sin Alma,Séptimo Hijo,2016,True
Satélite Kingston,La Último Carta,,2009,True
Pablo Molina,Estoy Solo,Pa' los Carnavales / a Guapachar,2018,True
Sig Ragga,Feliz - Remaster 2023,,2010,True
Mensajeros Reggae,Naufrago,Así,2010,True
"KLUB, Dread Mar I, Los Auténticos Decadentes",El Pájaro Vió el Cielo y Se Voló,Los Auténticos Reggaementes,2017,True
La Zimbabwe,Traición a la Mejicana,,2023,True
Pampa Yakuza,Juntos,Naturaleza Revivir,2012,True
Holy Piby,My Time,Hot Neighborhood,2004,True
"Los Guardianes de Gregory, Bahiano",Qué es Vivir (What is Life),Sonidos de Libertad,2021,True
Nueva Luz Reggae,Necesito tu amor,La Fuerza,2014,True
La Bomba del Ghetto,Flor de Mil Poetas,Flor de Mil Poetas,2022,True
La Cumparsita rock 72,La Negra Matonga,El Misterio de Lo Sencillo,2016,True
Tribu Falasha,Hoy Es el Dia,Elixir,2016,True
Seraqueda!,Distinto,Distinto,2013,True
Vibracion Reggae,Amiga,Hay Más para Escuchar,2012,True
Dread Negast,Motor Psico,Reggaes Redondos,2015,True
Hijas de Zion,Gente Oculta,Gente Oculta,2016,True
Sessiones Reggae,Rb Reggae,Nocturnece - Sessiones Reggae Instrumental,2008,True
Butumbaba,Sin Contaminantes,Majikakonvinazion,2015,True
Paella Virgen,Mil Mundos,Jardines,2007,True
Los Cafres,Tus Ojos,¿Quién da más?,2004,False
Dread Mar I,Hoja en Blanco,Amor-es,2008,False
Nonpalidece,Reggae en el Universo,Nuevo Día,2004,False
Fidel Nadal,Te Robaste Mi Corazón,International Love,2008,False
