Artist,Title,Album,Year,Validated
311,All Mixed Up,311,1996,True
311,Amber,From Chaos,2001,True
311,Beautiful Disaster,Transistor,1997,True
311,Come Original,Soundsystem,1999,True
311,Creatures (For a While),Evolver,2003,True
311,Down,311,1996,True
311,Love Song,Greatest Hits '93 - '03,2004,True
311,Sunset in July,Universal Pulse,2011,True
Ballyhoo!,Front Porch,The Front Porch (with Kash'd Out),2014,True
Bedouin Soundclash,12:59 Lullaby,Street Gospels,2004,True
Bedouin Soundclash,Mountain Top,Light The Horizon,2007,True
Bedouin Soundclash,St. Andrews,Street Gospels,2004,True
Bedouin Soundclash,Walls Fall Down,Street Gospels,2007,True
Bedouin Soundclash,When the Night Feels My Song,Sounding a Mosaic,2004,True
Common Kings,Alcoholic,Summer Anthems,2013,True
Common Kings,Always Beside You,Lost In Paradise,2013,True
Dirty Heads,Cabin by the Sea,Cabin By the Sea,2012,True
Dirty Heads,Lay Me Down,Any Port in a Storm,2010,True
Dirty Heads,Lift Me Up,Super Moon,2014,True
Dirty Heads,Medusa,Sound Of Change,2013,True
Dirty Heads,My Sweet Summer,Sound Of Change,2014,True
Dirty Heads,Oxygen,Dirty Heads,2014,True
Dirty Heads,Sound of Change,Sound Of Change,2014,True
Dirty Heads,That's All I Need,Dirty Heads,2016,True
Dirty Heads,Vacation,SWIM TEAM,2017,True
Fishbone,Alcoholic,Chim Chim's Badass Revenge,1993,True
Fishbone,Everyday Sunshine,The Reality Of My Surroundings,1991,True
Fishbone,Freddie's Dead,Truth And Soul,1990,True
Fishbone,Sunless Saturday,The Reality Of My Surroundings,1991,True
Fishbone,When Problems Arise,In Your Face,1991,True
Fortunate Youth,Jah Music,Irie State of Mind,2013,True
Fortunate Youth,Pass the Herb,Don't Think Twice,2017,True
Fortunate Youth,Sweet Love,MoBoogie Loft Sessions With Fortunate Youth,2011,True
Giant Panda Guerilla Dub Squad,Far Away,Country,2011,True
Giant Panda Guerilla Dub Squad,Pockets,In These Times,2012,True
Iration,Automatic,Automatic,2013,True
Iration,Cookie Jar,No Time For Rest,2015,True
Iration,Falling,Time Bomb,2013,True
Iration,Hotting Up,Hotting Up,2015,True
Iration,Lost and Found,Hotting Up,2010,True
Iration,Press Play,Iration,2013,True
Iration,Reelin',Hotting Up,2016,True
Iration,Summer Nights,Double Up,2013,True
Iration,Time Bomb,Time Bomb,2008,True
Iration,Turn Around,Time Bomb,2010,True
J Boog,Good Love,Division EP,2016,True
J Boog,Let's Do It Again,J Boog,2011,True
J Boog,My Girl,Backyard Boogie,2013,True
J Boog,Sunshine Girl,Backyard Boogie,2012,True
John Brown's Body,Sky Juice,Amplify,2013,True
Katchafire,100,Legacy,2007,True
Katchafire,Get Away,Revival,2010,True
Katchafire,Giddy Up,Revival,2003,True
Katchafire,Love Letter,Say What You're Thinking,2003,True
Long Beach Dub Allstars,Kick Down,LBDA and Friends,1999,True
Long Beach Dub Allstars,Sunny Hours,Wonders Of The World,1999,True
Matisyahu,Jerusalem,Youth,2006,True
Matisyahu,King Without a Crown,Shake off the Dust...Arise,2006,True
Matisyahu,One Day,Light,2008,True
Matisyahu,Sunshine,Spark Seeker,2014,True
Michael Franti & Spearhead,Say Hey (I Love You),All Rebel Rockers,2008,True
Passafire,Black Dog,Vines,2013,True
Passafire,Ghost Man,Submersible,2011,True
Passafire,Kilo,Submersible,2009,True
Passafire,Longshot,Longshot,2017,True
Passafire,Submersible,Submersible,2012,True
Pepper,Ashes,In With The Old,2008,True
Pepper,Bring Me Along,No Shame,2006,True
Pepper,Crazy Love,No Shame,2013,True
Pepper,Give It Up,Kona Town,2000,True
Pepper,No Control,No Shame,2006,True
Pepper,Same Ol,Operation Irie,2018,True
Pepper,Stone Love,Kona Town,2004,True
Pepper,Stormtrooper,Kona Town,2002,True
Pepper,Your Face,No Shame,2013,True
Rebelution,Celebrate,Free Rein,2021,True
Rebelution,Count Me In,Count Me In,2014,True
Rebelution,De-Stress,Count Me In,2007,True
Rebelution,Feeling Alright,Courage to Grow,2016,True
Rebelution,Good Vibes,Peace of Mind,2007,True
Rebelution,Inhale Exhale,Falling into Place,2014,True
Rebelution,Lazy Afternoon,Bright Side of Life,2016,True
Rebelution,Ordinary Girl,Courage to Grow,2009,True
Rebelution,Roots Reggae Music,Count Me In,2012,True
Rebelution,Safe and Sound,Courage to Grow,2008,True
Rebelution,Settle Down Easy,Free Rein,2018,True
Rebelution,Sky is the Limit,Peace of Mind,2011,True
Shwayze,Buzzin',Shwayze,2008,True
Skints,Electric,Swimming Lessons,2017,True
Skints,This Town,FM,2011,True
Slightly Stoopid,2am,Chronchitis,2008,True
Slightly Stoopid,Anywhere I Go,Chronchitis,2012,True
Slightly Stoopid,Closer to the Sun,Closer to the Sun,2005,True
Slightly Stoopid,Collie Man,Live & Direct: Acoustic Roots,2012,True
Slightly Stoopid,One Bright Day,Meanwhile...Back at the Lab,2012,True
