Artist,Title,Album,Year,Validated
Andrés Calamaro,Crímenes Perfectos,Alta suciedad,1997,True
Andrés Calamaro,Flaca,Alta suciedad,1997,True
Andrés Calamaro,Loco,Alta suciedad,1997,True
Andrés Calamaro,Paloma,Honestidad brutal,1999,True
Andrés Calamaro,Te Quiero Igual,Honestidad brutal,1999,True
Arbol,El Fantasma,Guau!,2004,True
Arbol,La Vida Es Todo Lo Que Vos Quieras,La Vida Es Todo Lo Que Vos Quieras (Single),2018,True
Arbol,Pequeños Sueños,Guau!,2004,True
Arbol,Prejuicios,Guau!,2004,True
Arbol,"Trenes, Camiones y Tractores",Guau!,2004,True
Attaque 77,Arrancacorazones,Antihumano,2003,True
Attaque 77,Hacelo por Mí,El cielo puede esperar,1990,True
Attaque 77,Ojos de Perro,Antihumano,2003,True
Babasónicos,Carismático,Anoche,2005,True
Babasónicos,El Loco,Jessico,2001,True
Babasónicos,Irresponsables,Infame,2003,True
Babasónicos,Putita,Infame,2003,True
Babasónicos,Y Qué,Infame,2003,True
Bersuit Vergarabat,El Tiempo No Para,Y Punto...,1992,True
Bersuit Vergarabat,La Argentinidad al Palo,La argentinidad al palo,2004,True
Bersuit Vergarabat,La Bolsa,Hijos del culo,2000,True
Bersuit Vergarabat,Sr. Cobranza,Libertinaje,1992,True
Bersuit Vergarabat,Yo Tomo,Libertinaje,1998,True
Catupecu Machu,A Veces Vuelvo,El Número Imperfecto,2004,True
Catupecu Machu,Magia Veneno,Cuadros dentro de cuadros,2002,False
Charly García,Demoliendo Hoteles,Piano Bar,1984,True
Charly García,Los Dinosaurios,Clics modernos,1983,True
Charly García,No Voy en Tren,Parte de la religión,1987,True
Charly García,Nos Siguen Pegando Abajo,Clics modernos,1983,True
Charly García,Promesas sobre el Bidet,Piano Bar,1984,True
Charly García,Rezo por Vos,Rezo por vos (Single),1985,False
Ciro y los Persas,Antes y Después,Espejos,2010,True
David Lebón,Mundo Agradable,Serú Girán en Vivo (Ópera),1993,False
Divididos,El 38,Acariciando lo áspero,1991,True
Divididos,El Arriero,La era de la boludez,1993,True
Divididos,Par Mil,Otroletravaladna,1995,False
Divididos,Spaghetti del Rock,Divididos (compilation),1996,False
El Mató a un Policía Motorizado,El Tesoro,La Síntesis O'Konor,2017,True
Enanitos Verdes,Lamento Boliviano,Big Bang,1994,True
Estelares,Un Día Perfecto,Sistema nervioso central,2006,True
Fito Páez,11 y 6,Giros,1985,True
Fito Páez,Al Lado del Camino,Abre,1999,True
Fito Páez,Circo Beat,Circo Beat,1994,True
Fito Páez,El Amor Después del Amor,El amor después del amor,1992,True
Fito Páez,Mariposa Tecknicolor,El amor después del amor,1992,True
Gustavo Cerati,Adiós,Ahí vamos,2006,True
Gustavo Cerati,Artefacto,Ahí vamos (Edición Especial),2007,False
Gustavo Cerati,Crimen,Ahí vamos,2006,True
Intoxicados,Fuego,Otro día en el planeta Tierra,2005,True
La Beriso,Mi Deseo,Historias,2014,False
La Mancha de Rolando,Arde la ciudad,Viaje,2004,True
La Mancha de Rolando,Carolina,A cielo abierto / El año del tigre,2010,True
La Mancha de Rolando,Chino,Espíritu,2006,True
La Mancha de Rolando,Viaje,Viaje,2004,True
La Renga,El Final es en Donde Parti,Despedazado por mil partes,1996,True
La Renga,La Balada del Diablo y La Muerte,Despedazado por mil partes,1996,True
Los Abuelos de la Nada,Costumbres Argentinas,Los Abuelos en el Ópera (En Vivo),1985,False
Los Abuelos de la Nada,Himno de mi Corazón,Himno de mi corazón,1984,True
Los Abuelos de la Nada,Mil Horas,Vasos y besos,1983,True
