Artist,Title,Album,Year,Validated
Anathema,One Last Goodbye,,1999,True
Black Sabbath,Changes,,1972,True
Black Sabbath,Planet Caravan,,1970,True
Def Leppard,Bringin' On the Heartbreak,,1981,True
Def Leppard,Hysteria,,1987,True
Def Leppard,Love Bites,,1987,True
Dio,As Long As It's Not About Love,,2000,True
Evanescence,My Immortal,,2003,True
Iron Maiden,Journeyman,,2003,True
Iron Maiden,Wasting Love,,1992,True
Judas Priest,Angel,,2005,True
Judas Priest,Before the Dawn,,1978,True
Katatonia,The One You Are Looking For Is Not Here,,2013,True
Megadeth,A Tout Le Monde,,1994,True
Metallica,Nothing Else Matters,,1991,True
Metallica,The Unforgiven,,1991,True
Metallica,Until It Sleeps,,1996,True
Nightwish,Sleeping Sun,,1999,True
Opeth,Harvest,,2001,True
Ozzy Osbourne,Mama I'm Coming Home,,1991,True
Pantera,Cemetery Gates,,1990,True
Queensrÿche,I Will Remember,,1986,True
Queensrÿche,Silent Lucidity,,1990,True
Scorpions,Send Me an Angel,,1990,True
Scorpions,Still Loving You,,1984,True
Scorpions,Wind of Change,,1990,True
Sevendust,Angel's Son,,2001,True
Tool,Disposition,,2001,True
Within Temptation,Angels,,2005,True
