Artist,Title,Album,Year,Validated
Ludwig van Beethoven,Symphony No. 9 in D Minor,Beethoven: Symphony No.9,1824,True
Wolfgang Amadeus Mozart,Symphony No. 40 in G Minor,Symphony No. 40,1788,True
Antonio Vivaldi,The Four Seasons - Summer,The Great Collection of Classical Music,1723,True
Johann Sebastian Bach,Cello Suite No. 1 in G Major,"Bach: Cello Suites Nos. 1, 5 & 6",1717,True
Pyotr Ilyich Tchaikovsky,Swan Lake Suite,Tchaikovsky: The Nutcracker / Swan Lake (Excerpts),1876,True
Hans Zimmer,Time,Inception (Music from the Motion Picture),2010,True
Hans Zimmer,Cornfield Chase,Interstellar (Original Motion Picture Soundtrack),2014,True
John Williams,Theme From Jurassic Park,Jurassic Park,1993,True
Howard Shore,The Shire,The Lord of the Rings: The Fellowship of the Ring,2001,True
Symphoniacs,Animals,Symphoniacs,2016,True
Symphoniacs,A Sky Full of Stars,Symphoniacs,2016,True
David Garrett,Viva La Vida,Music,2009,True
2CELLOS,Thunderstruck,Celloverse,2015,True
The Piano Guys,A Thousand Years,The Piano Guys,2012,True
Ludovico Einaudi,Nuvole Bianche,Una Mattina,2004,True
Max Richter,On the Nature of Daylight,The Blue Notebooks,2004,True
Johannes Brahms,Hungarian Dance No. 5,Hungarian Dances,1869,True
Edvard Grieg,In the Hall of the Mountain King,Peer Gynt,1875,True
Gustav Holst,Mars the Bringer of War,The Planets,1914,True
Claude Debussy,Clair de Lune,Suite bergamasque,1905,True
Richard Wagner,Ride of the Valkyries,Die Walküre,1851,True
Clint Mansell,Lux Aeterna,Requiem for a Dream,2000,True
Yann Tiersen,Comptine d'un autre été l'après-midi,Le Fabuleux Destin d'Amélie Poulain,2001,True
Apocalyptica,Nothing Else Matters,Inquisition Symphony,1998,True
Bond,Victory,Born,2000,True
ESCALA,Palladio,Escala,2009,True
Lindsey Stirling,Crystallize,Lindsey Stirling,2012,True
Joep Beving,Ab Ovo,Prehension,2017,True
Thomas Bergersen,Empire of Angels,Sun,2014,True
