Artist,Title,Album,Year,Validated
Com Truise,Brokendate,Galactic Melt,2011,True
Com Truise,Flightwave,Galactic Melt,2010,True
Dynatron,Pulse Power,Escape Velocity,2012,True
Dynatron,Stars of the Night,"The Legacy Collection, Vol. II",2012,True
Electric Youth,A Real Hero,Innerworld,2011,True
FM,84,Final Exam Fixation,Unknown,True
FM Attack,Shadows,New World,2017,True
FM-84,Running in the Night,Atlas,2016,True
Futurecop!,Starworshipper,The Movie,2013,True
Gunship,Dark All Day,Dark All Day (Instrumentals),2018,True
Gunship,Tech Noir,GUNSHIP (Instrumentals),2015,True
Kavinsky,Nightcall,Nightcall,2010,True
Kavinsky,ProtoVision,OutRun,2013,True
Lazerhawk,King of the Streets,Skull and Shark,2012,True
Lazerhawk,So Close,Redline,2012,True
Lazerhawk,Space Is the Place,Visitors,2012,True
Le Matos,No Tomorrow (feat. PAWWS),Turbo Kid (Original Motion Picture Soundtrack),2013,True
Miami Nights 1984,High Beams,Turbulence,2012,True
Miami Nights 1984,Ocean Drive,Turbulence,2010,True
Mitch Murder,Breaking Waves,This is Now,2014,True
Mitch Murder,The Touch,Interceptor,2010,True
Perturbator,Future Club,Dangerous Days,2014,True
Power Glove,Crypt,Throwback,2013,True
Scandroid,Empty Streets,Scandroid,2016,True
The Midnight,Days of Thunder,Days of Thunder,2014,True
The Midnight,Sunset,Endless Summer,2016,True
Timecop1983,Girl,"Lovers, Pt. 2",2015,True
Timecop1983,On the Run,Night Drive,2014,True
Trevor Something,Fade Away,Synthetic Love,2014,True
Trevor Something,Miami Nights,Synthetic Love,2014,True
