Artist,Title,Album,Year,Validated
Gerardo Matos Rodríguez,La Cumparsita,,1916,False
Carlos Gardel,Por Una Cabeza,,1935,False
Juan d'Arienzo,El Choclo,,1952,False
Carlos Gardel,El Día Que Me Quieras,,1935,False
Osvaldo Pugliese,La Yumba,,1946,False
Astor Piazzolla,Adiós Nonino,,1959,False
Francisco Canaro,Milonga Sentimental,,1933,False
Carlos di Sarli,Bahía Blanca,,1944,False
Aníbal Troilo,Malena,,1942,False
Edgardo Donato,A Media Luz,,1941,False
GoTan Project,Santa Maria (Del Buen Ayre),,2001,False
Bajofondo,Pa’ Bailar,,2007,False
Osvaldo Pugliese,Gallo Ciego,,1943,False
Juan d'Arienzo,Nueve De Julio,,1937,False
Astor Piazzolla,Libertango,,1974,False
Osvaldo Fresedo,Vida Mía,,1932,False
Ángel D'Agostino,Tres Esquinas,,1941,False
Juan d'Arienzo,El Flete,,1935,False
Juan de Dios Filiberto,Caminito,,1926,False
Astor Piazzolla,Balada para un Loco,,1969,False
Carlos Gardel,Volver,,1934,False
Carlos Gardel,Mi Buenos Aires Querido,,1934,False
Scarpino / Caldarella,Canaro en París,,1927,False
Juan de Dios Filiberto,Quejas de Bandoneón,,1918,False
Enrique Santos Discépolo,Gira Gira,,1930,False
