Artist,Title,Album,Year,Validated
BTS,Dynamite,BE,2020,True
Celia Cruz,La Vida es un Carnaval,Mi Vida Es Cantar,1998,True
PSY,Gangnam Style,Gangnam Style (강남스타일),2012,True
Fifty Fifty,Cupid,The Beginning,2023,True
Undertale,Megalovania,AI makes mashups,2018,True
Marc Anthony,Vivir Mi Vida,3.0,2013,True
Rick Astley,Never Gonna Give You Up,Whenever You Need Somebody,1987,True
Hamilton,My Shot,Hamilton: Like You’re Running Out of Time,,True
[DEL] Pinkfong,Baby Shark,Pinkfong Animal Songs,2017,False
Minecraft,Sweden,Living Mice,2025,True
Wicked,Defying Gravity,Wicked - Songs From The Musical,2013,True
Jungkook feat. Latto,Seven,,,True
Rosé & Bruno Mars,Apt.,rosie,2024,True
Bizarrap & Quevedo,"Bzrp Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52/66",2022,True
Bizarrap & Shakira,"Bzrp Sessions, Vol. 53",Las Mujeres Ya No Lloran,2024,True
Lady Gaga & Bruno Mars,Die With A Smile,MAYHEM,2025,True
Billie Eilish,Birds of a Feather,HIT ME HARD AND SOFT,2024,True
Alex Warren,Ordinary,"You'll Be Alright, Kid (Chapter 1)",2024,True
Connie Francis,Pretty Little Baby,Connie Francis Sings Second Hand Love & Other Hits,1962,True
Doechii,Anxiety,Alligator Bites Never Heal (Extended),2025,True
Shaboozey,A Bar Song (Tipsy),"Where I've Been, Isn't Where I'm Going",2024,True
Baauer,Harlem Shake,Harlem Shake,2013,True
Soulja Boy,Crank That,souljaboytellem.com,2007,True
The Clash,Should I Stay or Should I Go,Combat Rock,1982,True
sombr,back to friends,I Barely Know Her,2025,True
HUNTR/X,Golden,KPop Demon Hunters (Soundtrack from the Netflix Film),2025,True
Kendrick Lamar & SZA,luther,GNX,2024,False
Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,2025,False
Sabrina Carpenter,Manchild,Man's Best Friend,2025,False
Chappell Roan,The Subway,The Subway,2025,False
Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,2024,False
Lady Gaga,Abracadabra,MAYHEM,2025,False
