Artist,Title,Album,Year,Validated
Bakermat,One Day (Vandaag),One Day (Vandaag) [Radio Edit],2013,True
Bakermat,Teach Me,Teach Me,2014,True
Calvin Harris,Promises (with Sam Smith),96 Months,2018,True
Calvin Harris,Under Control (feat. Hurts),Motion,2013,True
Calvin Harris & Disciples,How Deep Is Your Love,96 Months,2015,True
Cheat Codes x Kris Kross Amsterdam,Sex,"100 Bombes Dancefloor 2016, Vol. 2",2016,True
Deepend,Waiting for the Summer,Waiting for the Summer,2016,True
Dillon Francis & Kygo,Coming Over,This Mixtape is Fire.,2015,True
Felix Jaehn,Ain't Nobody (Loves Me Better) [feat. Jasmine Thompson],I,2015,True
Felix Jaehn,Bonfire (feat. ALMA),I,2016,True
Jonas Blue,Mama (feat. William Singe),Blue,2017,True
Jonas Blue,Perfect Strangers (feat. JP Cooper),Blue,2016,True
Klingande,Jubel,The Album,2013,True
Klingande,Pumped Up,The Album,2018,True
KREAM,Taped Up Heart,Taped Up Heart (feat. Clara Mae),2016,True
Kygo,Firestone (feat. Conrad Sewell),Cloud Nine,2014,True
Lost Frequencies,Are You With Me,Less Is More,2014,True
Lost Frequencies,Reality (feat. Janieck Devy),"Tomorrowland 2022: Lost Frequencies at The Library, Weekend 2",2015,True
Lucas & Steve,Love On My Mind,Love On My Mind,2016,True
Lucas & Steve,Where Have You Gone (Anywhere),Letters To Remember,2021,True
Martin Jensen,Solo Dance,Solo Dance,2016,True
Martin Jensen,Wait,Wait,2017,True
Matoma,Old Thing Back (feat. Ja Rule and Ralph Tresvant),Old Thing Back (feat. Ja Rule and Ralph Tresvant),2015,True
Mike Perry,Inside the Lines (feat. Casso),Inside the Lines (feat. Casso),2016,True
Mike Perry,The Ocean (feat. Shy Martin),The Ocean (feat. Shy Martin),2016,True
Møme,Aloha (feat. Merryn Jeann),Dancefloor Fever 2016,2015,True
R3HAB,Icarus,Trouble,2018,True
Robin Schulz,Speechless (feat. Erika Sirola),IIII,2018,True
Robin Schulz,Sugar (feat. Francesco Yates),Sugar,2015,True
Sam Feldt,Post Malone (feat. RANI),Post Malone (feat. RANI),2019,True
Seeb,Breathe (feat. Neev),Breathe,2015,True
Seeb,What Do You Love (feat. Jacob Banks),What Do You Love,2016,True
Sigala,Easy Love,Brighter Days,2015,True
Starley,Call on Me (Ryan Riback Remix),So Fresh: The Hits of Autumn 2017,2016,True
The Chainsmokers,All We Know (feat. Phoebe Ryan),Collage EP,2016,True
The Chainsmokers,Roses (feat. ROZES),Bouquet,2015,True
The Chainsmokers,Side Effects (feat. Emily Warren),Side Effects,2018,True
Thomas Jack,Rivers,Rivers,2015,True
