Artist,Title,Year,Validated
Alan Parsons Project,I Robot,1977,True
Alan Parsons Project,Some Other Time,1977,True
Alan Parsons Project,The Raven,1976,True
Alan Parsons Project,Time,1980,True
Alan Parsons Project,To One in Paradise,1976,True
Anathema,"Untouchable, Part 2",2012,True
Anthony Phillips,Collections,1977,True
Anthony Phillips,Field of Eternity,1978,True
Anthony Phillips,God If I Saw Her Now,1977,True
Anthony Phillips,The Geese and the Ghost,1977,True
Anthony Phillips,Which Way the Wind Blows,1977,True
Barclay James Harvest,Galadriel,1971,True
Barclay James Harvest,Hymn,1977,True
Barclay James Harvest,Mockingbird,1971,True
Barclay James Harvest,Poor Man's Moody Blues,1977,True
Barclay James Harvest,Taking Some Time On,1968,True
Camel,Air Born,1976,True
Camel,Ice,1979,True
Camel,Lady Fantasy,1974,True
Camel,Never Let Go,1973,True
Camel,Nimrodel/The Procession/The White Rider,1974,True
Camel,Song Within a Song,1976,True
Camel,The Snow Goose,1975,True
Caravan,Golf Girl,1971,True
Caravan,"If I Could Do It All Over Again, I'd Do It All Over You",1970,True
Caravan,In the Land of Grey and Pink,1971,True
Caravan,Love to Love You (And Tonight Pigs Will Fly),1971,True
Caravan,Winter Wine,1971,True
Curved Air,Back Street Luv,1971,True
Curved Air,Blind Man,1972,True
Curved Air,Elfin Boy,1973,True
Curved Air,It Happened Today,1970,True
Curved Air,Melinda (More or Less),1973,True
Dream Theater,Octavarium,2005,True
Electric Light Orchestra,10538 Overture,1971,True
Electric Light Orchestra,Can't Get It Out of My Head,1974,True
Electric Light Orchestra,Mr. Blue Sky,1977,True
Electric Light Orchestra,Showdown,1973,True
Electric Light Orchestra,Telephone Line,1976,True
"Emerson, Lake & Palmer",C'est la Vie,1977,True
"Emerson, Lake & Palmer",From the Beginning,1972,True
"Emerson, Lake & Palmer",Karn Evil 9,1973,True
"Emerson, Lake & Palmer",Lucky Man,1970,True
"Emerson, Lake & Palmer",Still... You Turn Me On,1973,True
"Emerson, Lake & Palmer",Take a Pebble,1970,True
"Emerson, Lake & Palmer",Tarkus,1971,True
"Emerson, Lake & Palmer",Trilogy,1972,True
Focus,Focus II,1970,True
Focus,Focus III,1972,True
Focus,Hamburger Concerto,1974,True
Focus,House of the King,1970,True
Focus,Sylvia,1972,True
Genesis,Afterglow,1976,True
Genesis,Firth of Fifth,1973,True
Genesis,Horizons,1972,True
Genesis,Ripples,1976,True
Genesis,Supper's Ready,1972,True
Genesis,The Musical Box,1971,True
Gentle Giant,Aspirations,1974,True
Gentle Giant,His Last Voyage,1975,True
Gentle Giant,In a Glass House,1973,True
Gentle Giant,On Reflection,1975,True
Gentle Giant,Proclamation,1974,True
Gentle Giant,The Moon Is Down,1971,True
Gentle Giant,Think of Me with Kindness,1972,True
Gryphon,Ethelion,1974,True
Gryphon,Midnight Mushrumps,1974,True
Gryphon,Opening Move,1973,True
Gryphon,Unquiet Grave,1973,True
Happy the Man,Open Book,1977,True
Happy the Man,Service with a Smile,1978,True
Happy the Man,Starborne,1977,True
Happy the Man,Steaming Pipes,1978,True
Happy the Man,Wind Up Doll Day Wind,1977,True
Hatfield and the North,Calyx,1974,True
Hatfield and the North,Fol de Rol,1974,True
Hatfield and the North,Mumps,1975,True
Hatfield and the North,Share It,1975,True
Hatfield and the North,The Yes No Interlude,1975,True
Jethro Tull,Aqualung,1971,True
Jethro Tull,Life Is a Long Song,1971,True
Jethro Tull,Locomotive Breath,1971,True
Jethro Tull,Skating Away on the Thin Ice of the New Day,1974,True
Jethro Tull,Songs from the Wood,1977,True
Jethro Tull,Thick as a Brick,1972,True
Jethro Tull,Thick as a Brick (Edit #1),1972,True
Jethro Tull,Wond'ring Aloud,1971,True
Kansas,Dust in the Wind,1977,True
Kansas,Hold On,1980,True
Kansas,Miracles Out of Nowhere,1976,True
Kansas,Song for America,1975,True
Kansas,The Wall,1976,True
King Crimson,21st Century Schizoid Man,1969,True
King Crimson,Cadence and Cascade,1970,True
King Crimson,I Talk to the Wind,1969,True
King Crimson,Islands,1971,True
King Crimson,Moonchild,1969,True
King Crimson,Starless,1974,True
King Crimson,The Court of the Crimson King,1969,True
Marillion,Grendel,1982,True
Marillion,Kayleigh,1985,True
Marillion,Script for a Jester's Tear,1983,True
Mike Oldfield,Arrival,1980,True
Mike Oldfield,Blue Peter,1979,True
Mike Oldfield,Incantations Part 2,1978,True
Moody Blues,Isn't Life Strange,1972,True
Moody Blues,New Horizons,1972,True
Moody Blues,Nights in White Satin,1967,True
Moody Blues,Question,1970,True
Moody Blues,Tuesday Afternoon,1967,True
Neal Morse,The Conflict,2007,True
Neal Morse,The Door,2007,True
Pink Floyd,A Pillow of Winds,1971,True
Pink Floyd,Breathe,1973,True
Pink Floyd,Dogs,1977,True
Pink Floyd,Echoes,1971,True
Pink Floyd,Shine On You Crazy Diamond,1975,True
Pink Floyd,Us and Them,1973,True
Pink Floyd,Wish You Were Here,1975,True
Porcupine Tree,Anesthetize,2007,True
Porcupine Tree,Arriving Somewhere But Not Here,2005,True
Porcupine Tree,Trains,2002,True
Renaissance,Ashes Are Burning,1973,True
Renaissance,Carpet of the Sun,1973,True
Renaissance,Mother Russia,1974,True
Renaissance,Northern Lights,1978,True
Renaissance,Ocean Gypsy,1974,True
Rick Wakeman,Anne of Cleves,1973,True
Rick Wakeman,Catherine of Aragon,1973,True
Rick Wakeman,Merlin the Magician,1975,True
Rick Wakeman,Sir Lancelot and the Black Knight,1975,True
Rick Wakeman,The Last Battle,1975,True
Riverside,Second Life Syndrome,2005,True
Rush,2112,1976,True
Rush,Closer to the Heart,1977,True
Rush,Different Strings,1980,True
Rush,La Villa Strangiato,1978,True
Rush,Rivendell,1975,True
Rush,Tears,1976,True
Rush,Xanadu,1977,True
Soft Machine,Hazard Profile,1975,True
Soft Machine,Hope for Happiness,1968,True
Soft Machine,Moon in June,1970,True
Soft Machine,Slightly All the Time,1970,True
Soft Machine,Virtually (Part 1),1971,True
Spock's Beard,The Light,1995,True
Spock's Beard,The Water,1995,True
Steve Hackett,Ace of Wands,1975,True
Steve Hackett,Hands of the Priestess,1975,True
Steve Hackett,Kim,1980,True
Steve Hackett,Spectral Mornings,1979,True
Steve Hackett,The Hermit,1975,True
Steven Wilson,Drive Home,2013,True
Steven Wilson,The Raven That Refused to Sing,2013,True
Supertramp,Give a Little Bit,1977,True
Supertramp,Hide in Your Shell,1974,True
Supertramp,Lord Is It Mine,1979,True
Supertramp,School,1974,True
Supertramp,Take the Long Way Home,1979,True
Tangerine Dream,Force Majeure,1979,True
Tangerine Dream,Phaedra,1974,True
Tangerine Dream,Ricochet Part 1,1975,True
Tangerine Dream,Rubycon Part 1,1975,True
Tangerine Dream,Stratosfear,1976,True
The Flower Kings,The Truth Will Set You Free,2002,True
The Mars Volta,Cicatriz ESP,2003,True
The Mars Volta,The Widow,2005,True
The Moody Blues,Nights in White Satin,1967,True
Tool,Lateralus,2001,True
Tool,Schism,2001,True
Transatlantic,The Whirlwind,2009,True
Triumvirat,Illusions on a Double Dimple,1973,True
Triumvirat,Schooldays,1974,True
Triumvirat,The Capital of Power,1975,True
Triumvirat,Waterfall,1977,True
Van der Graaf Generator,A Plague of Lighthouse Keepers,1971,True
Van der Graaf Generator,House with No Door,1970,True
Van der Graaf Generator,La Rossa,1976,True
Van der Graaf Generator,Man-Erg,1971,True
Van der Graaf Generator,Pilgrims,1976,True
Van der Graaf Generator,Refugees,1970,True
Van der Graaf Generator,Wondering,1977,True
Yes,And You and I,1972,True
Yes,Awaken,1977,True
Yes,Close to the Edge,1972,True
Yes,Roundabout,1971,True
Yes,Soon,1974,True
Yes,Turn of the Century,1977,True
Yes,Wondrous Stories,1977,True
Yes,Your Move,1971,True
