Artist,Title,Year,Album,Validated
Aeron's Wake,Valkyrie,2013,Aeron's Wake,True
Airged L'amh,Ode To Salvation,2008,Ode To Salvation,True
Anwynn,Anwynn,2012,Forbidden Songs,True
Ars Amandi,Camino Sin Fin,2003,Autóctono,True
Ars Amandi,Tu Ley,2003,Autóctono,True
Barad Guldur,Senza Paura,2019,Frammenti Di Oscurità,True
Barad Guldur,Y Ddraig Goch,2022,Vishapner,True
Battlesoul,Lay down Thy Burdens,2010,Lay down Thy Burdens,True
Battlesoul,Oathbreaker,2010,Lay down Thy Burdens,True
Belenos,Karvden,2019,Argoat,True
Belenos,Bleizken,2019,Argoat,True
Briselas,Licán,2019,Tierra de Poetas,True
Cellar Darling,Avalanche,2017,This Is the Sound,True
Cellar Darling,Freeze,2019,The Spell,True
Celtachor,The Mighty Sreng,2015,Nuada of the Silver Arm,True
Celtachor,King of Tara,2018,Fiannaíocht,True
Celtian,En Tierra de Hadas,2019,En Tierra de Hadas,True
Celtian,La Hija De Las Estrellas,2021,Mester De Juglaría,True
Celtibeerian,El Queso Rodante,2021,Mester De Juglaría,True
Celtic Legacy,Guardian Angel,2003,Resurrection,True
Cruachan,Wolfe Tone,2006,The Morrigan's Call,True
Cruachan,The Marching Song of Fiach Mac Hugh,2014,Blood for the Blood God,True
Cruadalach,Eyes Wide Open,2021,Raised By Wolves,True
Cruadalach,Raised By Wolves,2021,Raised By Wolves,True
CrystalMoors,Ibervs Flvmen,2008,Antiqvam Exqvirite Matrem,True
Darkest Era,The Morrigan,2011,The Last Caress of Light,True
Darkest Era,One Thousand Years Of Night,2022,Wither On The Vine,True
Devil in the Kitchen,Wizard's Walk,2004,Wizard's Walk,True
Distoriam,Hymn to Mead,2015,Chapter I: Vinlanders,True
Distoriam,Duel of a Hundred Lights,2015,Chapter I: Vinlanders,True
Drakwald,Erase by Fire,2016,Riven Earth,True
Drakwald,Doomsday Argument,2016,Riven Earth,True
Duir,Obsidio,2018,Obsidio,True
Duir,Essere dio,2022,T.S.N.R.I. - Impermanenza,True
Eluveitie,Ambiramus,2019,Ategnatos,True
Fferyllt,Jule,2009,Dance of Druids,True
Fferyllt,Call of the Wild,2015,Achanterez,True
Fir Bolg,Dun Aengus,2013,Towards Ancestral Lands,True
Folkstone,In caduta libera,2014,Oltre… l'Abisso,True
Folkstone,La fabbrica dei perdenti,2024,La fabbrica dei perdenti,True
Furor Gallico,La caccia morta,2011,Furor Gallico,True
Galwem,Cantem Sempre Essa Canção,2015,Joaquim e o Barril de Carvalho,True
Geasa,Spansill Hill,1999,Angel's Cry,True
Geasa,Thuatha De Dannnan,1999,Angel's Cry,True
Hantaoma,Hantaoma,2008,Malombra,True
Hantaoma,Vent Follet,2008,Malombra,True
I Killed A Leprechaun At The Carnival,Tale Of A Leprechaun,2011,Forgotten Fables,True
Ingrimm,Spielmann,2007,Ihr Sollt Brennen,True
Ingrimm,Die Pest,2010,Böses Blut,True
Ithilien,Blindfolded,2017,Shaping the Soul,True
Ithilien,Edelweiss,2017,Shaping the Soul,True
Kanseil,Rivus altus,2024,Vaia,True
Kanseil,Hrodgaud,2024,Vaia,True
Kernunna,Curupira's Maze,2013,The Seim Anew,True
Kernunna,Kernunna,2013,The Seim Anew,True
KormaK,The Goddess' Song,2018,Faerenus,True
Krampus,Kronos' Heritage,2012,Survival of the Fittest,True
Krampus,Paralysis,2016,Counter Current,True
Last Days of Eden,Magia,2021,Mester De Juglaría,True
Leaves' Eyes,Chain of the Golden Horn,2020,The Last Viking,True
Leaves' Eyes,Dark Love Empress,2020,The Last Viking,True
Lou Quinse,"Chanter, Boire et Rire Rire",2018,Lo Sabbat,True
Lou Quinse,La Dançarem Pus,2018,Lo Sabbat,True
Lurte,Brindis de Taberna,2011,Neopatria,True
Lurte,Para Siempre,2018,V,True
Lyriel,Leverage,2011,Leverage,True
Lyriel,Dust to Dust,2014,Skin and Bones,True
Lándevir,Alba,2008,Inmortal,True
Lándevir,El Espíritu del Viento,2018,Desde el Silencio,True
Mael Mórdha,Tá Mael Mórdha Ag Teacht,2008,Cluain tarbh,True
Mael Mórdha,All Eire Will Quake,2013,Damned When Dead,True
Minotaurus,The Lonely Dwarf,2009,The Lonely Dwarf,True
Minotaurus,Erlkönig,2013,The Call,True
Oakhelm,Of Wood and Blood,2009,Betwixt and Between,True
Opus Tenebrae,Opera Mortis,2016,Opus Tenebrae,True
Primordial,Empire Falls,2007,To the Nameless Dead,True
Primordial,Where Greater Men Have Fallen,2014,Where Greater Men Have Fallen,True
Salduie,A Brindar,2015,Imbolc,True
Salduie,Los Fuegos de Belenus,2016,Belos,True
Saor,Origins,2022,Origins,True
Saor,Call of the Carnyx,2022,Origins,True
Sequester,Bloodborne,2018,Hermit,True
Skiltron,Hate Of My Life,2016,Legacy Of Blood (bonus track edition),True
Skiltron,The Final Countdown,2020,The Final Countdown,True
Skyclad,The Parliament Of Fools,2004,A Semblance Of Normality,True
