Artist,Title,Year,Album,Validated
Ancient Bards,Across This Life,2014,A New Dawn Ending,True
ANGUS McSIX,Master Of The Universe,2023,And The Sword Of Power,True
Arcane Tales,Essence of Divine,2022,"Steel, Fire and Magic",True
Arcane Tales,One Last Ride,2024,Until Where the Northern Lights Reign,True
Avantasia,Lay All Your Love on Me,2008,Lost in Space (Chapter 1 & 2),True
Bal-Sagoth,Callisto Rising,1999,The Power Cosmic,True
Bane of Winterstorm,The Warlords Last Ride,2013,The Last Sons of Perylin,True
Bane of Winterstorm,The Ancient Ritual of Rakth,2013,The Last Sons of Perylin,True
Barque of Dante,Way of Your Life,2015,Lasting Forever,True
Barque of Dante,Lasting Forever,2015,Lasting Forever,True
Battlelore,Sons of Riddermark,2003,Sword's Song,True
Blind Guardian,Mirror Mirror - Remastered 2007,1998,Nightfall in Middle Earth (Remastered 2007),True
Blind Guardian Twilight Orchestra,Point of No Return,2019,Legacy of the Dark Lands,True
Celesty,Empty Room,2006,Mortal Mind Creation,True
Celesty,Lord Of Mortals,2006,Mortal Mind Creation,True
Cryonic Temple,Prepare for War,2017,Into the Glorious Battle,True
Cryonic Temple,End Of Days,2018,Deliverance,True
Dark Sarah,Warning Sign,2023,Attack Of Orym,True
Demons & Wizards,Diabolic,2020,III,True
Dragonhammer,Legend,2015,The Blood of the Dragon (MMXV Edition),True
Dragonhammer,Kingdom Of The Ghosts,2022,Second Life,True
Dragonland,The Neverending Story,2002,Holy War (Deluxe Edition),True
Dragonland,Shadow of the Mithril Mountains,2011,Under the Grey Banner,True
Dragonrider,The Berserker,2020,Scepter of Domination,True
Dreamtale,Angel Of Light,2011,Epsilon,True
Dreamtale,Battleheart - Single version,2024,Battleheart,True
Durbin,Hallows,2024,Screaming Steel,True
Elvenking,Elvenlegions,2014,The Pagan Manifesto,True
Elvenking,Silverseal,2019,Reader of the Runes - Divination,True
Energema,The Eyes of Pharaoh,2021,Promised Land,True
Eons Enthroned,Stormblessed,2021,Into the Arcane,True
Eons Enthroned,The Ones Who Defied,2024,The Ones Who Defied,True
Eregion,Ride Forth,2024,Non Omnis Moriar,True
Evertale,Empire Rising,2017,The Great Brotherwar,True
Evertale,All Hail the Crimson King,2017,The Great Brotherwar,True
Fairyland,Heralds of the Green Lands,2020,Osyrhianta,True
Firienholt,Farewell,2024,Farewell,True
Glory Force,Rivers of Glory,2020,The Restoration of Erathia,True
Glory Force,Wielder of a Thousand Axes,2020,The Restoration of Erathia,True
Gloryhammer,Hootsforce,2019,Legends from Beyond the Galactic Terrorvortex,True
Grimgotts,The Last Dragon Warriors,2019,Dragons of the Ages,True
Grimgotts,Return to the Sea,2024,Return to the Sea,True
Heavatar,Replica,2013,All My Kingdoms,True
Heroes of Forgotten Kingdoms,The Ancient Will of the Prophecy,2018,Dragonslayer,True
Heroes of Forgotten Kingdoms,Dragonslayer,2018,Dragonslayer,True
Holy Dragons,Stronger Than the Wind,2024,Fortress,True
Holysword,Princess of the Winter Sky,2024,Era of the Dragonwar,True
Hooves Of Steel,Winter Storm,2021,Winter Storm,True
Kaledon,The New Kingdom,2012,Mightiest Hits,True
Kaledon,Steel Maker,2012,Mightiest Hits,True
Krilloan,Emperor Rising,2022,Emperor Rising,True
Krilloan,Sons of the Lion,2022,Emperor Rising,True
Krusader,Holy Metal Sign,2016,Angus,True
Lorenguard,Eve of Corruption,2011,Eve of Corruption,True
Lorenguard,Dragonsbane,2011,Eve of Corruption,True
Lost Dawning,Next Level,2022,Embers of Dusk,True
Luca Turilli (Band),Black Dragon,1999,King of the Nordic Twilight,True
Luca Turilli (Band),Demonheart,2002,Prophet of the Last Eclipse,True
Magic Kingdom,I'm A Lionheart,2010,Symphony Of War,True
Magic Kingdom,Symphony Of War,2010,Symphony Of War,True
Marius Danielsen,Temple of the Ancient God,2018,"Legend of Valley Doom, Pt. 2",True
Marius Danielsen,Angel of Light,2018,"Legend of Valley Doom, Pt. 2",True
Nahtram,The Wolf,2018,An Ominous Journey,True
Niviane,Heaven Overflow,2017,The Druid King,True
Operadyse,Celestial Sword,2013,Pandemonium,True
Operadyse,The Path of Divine,2013,Pandemonium,True
Paladine,War of the Lance,2021,Entering the Abyss,True
Palantír,Transcension,2022,Chasing a Dream,True
Palantír,Queen of the Moon,2022,Chasing a Dream,True
Parsifal,Storming the Reaper,2016,Heavy Duty,True
Parsifal,One Wish,2016,Heavy Duty,True
Phoebus the Knight,Ferrum Fero Ferro Feror,2023,Ferrum Fero Ferro Feror,True
Power Paladin,Kraven the Hunter - Single Edit,2021,Kraven The Hunter,True
Power Paladin,Righteous Fury (feat. Óskar Rúnarsson),2022,With the Magic of Windfyre Steel,True
ReinXeed,We Must Go Faster,2011,1912,True
ReinXeed,Welcome to the Theater,2012,Welcome to the Theater,True
Sacred Outcry,The Flame Rekindled,2023,Towers of Gold,True
Sacred Outcry,The Voyage,2023,Towers of Gold,True
Serenity,"Ritter, Tod und Teufel (Knightfall)",2023,Nemesis A.D.,True
Seven Kingdoms,Stargazer,2017,Decennium,True
Soul Source,Tyranny Falls,2011,When Heroes Fall,True
Soul Source,Destiny Horizon,2011,When Heroes Fall,True
Starforger,The Forgotten War,2021,Wreath of Frost,True
Stray Gods,Out of Nowhere,2023,Olympus,True
The Dark Side of the Moon,Legends Never Die,2023,Metamorphosis,True
Theragon,Heartbound,2024,Lumina,True
Theragon,We All Are One,2024,Lumina,True
Timeless Miracle,Curse of the Warewolf,2005,Into the Enchanted Chamber,True
Timeless Miracle,Return of the Werewolf,2005,Into the Enchanted Chamber,True
Twilight Force,Gates of Glory,2014,Tales of Ancient Prophecies,True
Twilight Force,Dawn of the Dragonstar,2019,Dawn of the Dragonstar,True
Warrior Path,Sinnersworld,2019,Warrior Path,True
Wizardthrone,Frozen Winds of Thyraxia,2021,Hypercube Necrodimensions,True
Woods of Wonders,The Pirate Queens,2022,Lost,True
Ërendil,Crown of Stars,2022,Ërendil,True
