Artist,Title,Year,Album,Validated
Alestorm,Captain Morgan's Revenge,2008,Captain Morgan's Revenge,True
Alestorm,Drink,2014,Sunset on the Golden Age,True
Alestorm,Gardyloo,2025,Gardyloo,True
Alestorm,Hyperion Omniriff,2025,The Thunderfist Chronicles,True
Alestorm,Keelhauled,2009,Black Sails at Midnight,True
Alestorm,Mexico,2017,No Grave But the Sea,True
Alestorm,Shipwrecked,2011,Back Through Time,True
Alestorm,The Storm,2025,The Storm,True
Arkona,Arkaim,2011,Decade of Glory,True
Arkona,Goi Rode Goi!,2009,"Goi, Rode, Goi!",True
Arkona,Shtorm,2018,Khram,True
Arkona,Slavsia Rus'!,2004,Decade of Glory,True
Arkona,Stenka na Stenku,2011,Decade of Glory,True
Arkona,Yarilo,2009,"Goi, Rode, Goi!",True
Cruachan,Blood for the Blood God,2014,Blood for the Blood God,True
Cruachan,Ride On,2002,Folk-Lore,True
Cruachan,The Morrigan,2000,The Middle Kingdom,True
Cruachan,The Nine Year War,2014,Blood on the Black Robe,True
Cruachan,To Invoke the Horned God,1995,Tuatha Na Gael,True
Dalriada,A Walesi Bárdok,2011,Arany-Album,True
Dalriada,Hajdútánc,2008,Ígéret,True
Dalriada,Téli Ének,2011,Jégbontó,True
Eluveitie,A Rose for Epona,2012,Helvetios,True
Eluveitie,Ategnatos,2019,Ategnatos,True
Eluveitie,Inis Mona,2008,Slania,True
Eluveitie,Omnos,2009,Evocation I: The Arcane Dominion,True
Eluveitie,The Call of the Mountains,2014,Origins,True
Eluveitie,Thousandfold,2010,Everything Remains (As It Never Was),True
Elvenking,Pagan Purity,2001,Heathenreel,True
Elvenking,The Divided Heart,2007,The Scythe,True
Elvenking,The Loser,2012,Era,True
Elvenking,The Scythe,2007,The Scythe,True
Ensiferum,For Those About to Fight for Metal,2017,Two Paths,True
Ensiferum,From Afar,2009,From Afar,True
Ensiferum,In My Sword I Trust,2012,Unsung Heroes,True
Ensiferum,Iron,2004,Iron,True
Ensiferum,One More Magic Potion,2007,Victory Songs,True
Ensiferum,Token of Time,2001,Ensiferum,True
Ensiferum,Two of Spades,2015,One Man Army,True
Equilibrium,Bloodwood,2025,Bloodwood,True
Equilibrium,Der Ewige Sieg,2010,Rekreatur,True
Equilibrium,Heimat,2016,Armageddon,True
Equilibrium,Met,2005,Turis Fratyr,True
Equilibrium,Unbesiegt,2010,Sagas,True
Equilibrium,Waldschrein,2013,Erdentempel,True
Equilibrium,Wingthors Hammer,2005,Turis Fratyr,True
Finntroll,Jaktens Tid,2001,Jaktens Tid,True
Finntroll,Nedgång,2013,Ur jordens djup,True
Finntroll,Ormfolk,2020,Vredesvävd,True
Finntroll,Trollhammaren,2004,Nattfödd,True
Finntroll,Under Bergets Rot,2010,Nifelvind,True
Finsterforst,Fremd,2012,Rastlos,True
Finsterforst,Mach dich frei!,2015,Mach dich frei,True
Heidevolk,A Wolf in My Heart,2015,Vuur van Verzet,True
Heidevolk,Nehalennia,2008,Uit oude grond,True
Heidevolk,Saksenland,2005,Walhalla wacht,True
Heidevolk,Vulgaris Magistralis,2008,De strijdlust is geboren,True
In Extremo,Herr Mannelig,1998,Weckt die Toten!,True
In Extremo,Vollmond,1998,Sünder ohne Zügel,True
Korpiklaani,Beer Beer,2005,Voice of Wilderness,True
Korpiklaani,Beer Beer (Live),2013,Live at Masters of Rock,True
