Artist,Title,Year,Album,Validated
38 Special,Caught Up In You,1982,Special Forces,True
38 Special,Hold On Loosely,1980,Wild-Eyed Southern Boys,True
AC/DC,Back in Black,1980,Back in Black,True
AC/DC,Hells Bells,1980,Back in Black,True
AC/DC,Highway to Hell,1979,Highway to Hell,True
AC/DC,Shoot to Thrill,1980,Back in Black,True
AC/DC,Thunderstruck,1990,The Razors Edge,True
Aerosmith,Dream On,1973,Aerosmith,True
Aerosmith,"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack",1998,I Don't Want To Miss A Thing EP,True
Airbourne,Runnin' Wild,2007,Runnin' Wild,True
Alice Cooper,No More Mr. Nice Guy,1993,No More Mr. Nice Guy,True
Alice Cooper,Poison,1989,Trash,True
Alice Cooper,School's Out,1972,School's Out,True
Alice In Chains,Man in the Box,1990,Facelift,True
Allman Brothers Band,Midnight Rider,1970,Idlewild South (Deluxe Edition Remastered),True
Asia,Heat Of The Moment,1982,Asia,True
Audioslave,Be Yourself,2005,Out of Exile,True
Audioslave,Like a Stone,2002,Audioslave,True
Bachman-Turner Overdrive,Takin' Care Of Business,1973,Bachman-Turner Overdrive II,True
Bachman-Turner Overdrive,You Ain't Seen Nothing Yet,1974,Not Fragile,True
Bad Company,Bad Company - 2015 Remaster,1974,Bad Company (Deluxe),True
Bad Company,Feel like Makin' Love - 2015 Remaster,1975,Straight Shooter,True
Bad Company,Shooting Star - 2015 Remaster,1975,Straight Shooter,True
Bad English,When I See You Smile,1989,Bad English,True
Billy Idol,Eyes Without A Face,1983,Rebel Yell,True
Billy Idol,Rebel Yell,1983,Rebel Yell,True
Black Label Society,Stillborn,2009,Skullage,True
Blue Öyster Cult,(Don't Fear) The Reaper,1976,Agents Of Fortune,True
Blue Öyster Cult,Burnin' for You,1981,Fire of Unknown Origin,True
Bob Seger,Old Time Rock & Roll,1978,Stranger In Town,True
Boston,Amanda,1986,Third Stage,True
Boston,More Than a Feeling,1976,Boston,True
Boston,Peace of Mind,1976,Boston,True
Buckcherry,Crazy Bitch,2006,15,True
Cheap Trick,Surrender,1978,Heaven Tonight,True
Cheap Trick,The Flame,1988,Lap Of Luxury,True
Cinderella,Don't Know What You Got (Till It's Gone),1988,Long Cold Winter,True
Cinderella,Nobody's Fool,1986,Night Songs,True
Cream,Sunshine Of Your Love,1967,The Cream of Eric Clapton,True
Cream,White Room,1968,Wheels Of Fire,True
Danzig,Mother,1988,Danzig,True
Deep Purple,Burn,1974,Burn,True
Deep Purple,Highway Star,1972,Machine Head,True
Deep Purple,Perfect Strangers,1984,Perfect Strangers,True
Deep Purple,Smoke on the Water,1972,Machine Head,True
Deep Purple,Speed King,1970,Deep Purple in Rock,True
Def Leppard,Hysteria,1987,Hysteria,True
Def Leppard,Photograph,1983,Pyromania,True
Def Leppard,Pour Some Sugar on Me,1987,Hysteria,True
Def Leppard,Rock of Ages,1983,Pyromania,True
Def Leppard,Seagull,2025,Seagull,True
Derek & The Dominos,Layla,1970,Layla And Other Assorted Love Songs (Remastered 2010),True
Eddie Money,Take Me Home Tonight,1986,Can't Hold Back,True
Eddie Money,Two Tickets to Paradise (2022 Remaster),1977,Eddie Money (2022 Remaster),True
Europe,Carrie,1986,The Final Countdown (Expanded Edition),True
Europe,The Final Countdown,1986,The Final Countdown (Expanded Edition),True
Extreme,More Than Words,1990,Extreme II - Pornograffitti,True
Faith No More,Easy,1992,Angel Dust (Deluxe Edition),True
Faith No More,Epic,1989,The Real Thing,True
Firehouse,I Live My Life for You,1996,Good Acoustics,True
Foghat,Slow Ride (Edit),2023,Road Fever: The Complete Bearsville Recordings 1972-1975,True
Foreigner,Cold as Ice,1977,More Than a Feeling: The Greatest Rock Anthems of All Time,True
Foreigner,I Want to Know What Love Is - 1999 Remaster,1984,Agent Provocateur,True
