Artist,Title,Year,Album,Validated
Aephanemer,Antigone,2021,A Dream of Wilderness,True
Aephanemer,Memento Mori,2019,Memento Mori,True
Aephanemer,Path of the Wolf,2016,Know Thyself,True
Aether Realm,Cycle,2020,Redneck Vikings From Hell,True
Aether Realm,Death,2017,Tarot,True
Aether Realm,Goodbye,2020,Redneck Vikings From Hell,True
Aether Realm,Guardian,2020,Redneck Vikings From Hell,True
Aether Realm,Hunger,2020,Redneck Vikings From Hell,True
Aether Realm,King of Cups,2017,Tarot,True
Aether Realm,Lean into the Wind,2020,Redneck Vikings From Hell,True
Aether Realm,One Hollow Word,2020,Redneck Vikings From Hell,True
Aether Realm,Redneck Vikings From Hell,2020,Redneck Vikings From Hell,True
Aether Realm,She's Back,2020,Redneck Vikings From Hell,True
Aether Realm,Slave to the Riff,2020,Redneck Vikings From Hell,True
Aether Realm,Strength,2017,Tarot,True
Aether Realm,Tarot,2017,Tarot,True
Aether Realm,Temperance,2017,Tarot,True
Aether Realm,The Chariot,2017,Tarot,True
Aether Realm,The Devil,2017,Tarot,True
Aether Realm,The Emperor,2017,Tarot,True
Aether Realm,The Fool,2017,Tarot,True
Aether Realm,The Magician,2020,Tarot,True
Aether Realm,"The Sun, the Moon, the Star",2017,Tarot,True
Aether Realm,The Tower,2017,Tarot,True
Aether Realm,TMHC,2020,Redneck Vikings From Hell,True
Amorphis,Against Widows,1996,Elegy,True
Amorphis,Amongst Stars,2018,Queen of Time,True
Amorphis,The Bee,2018,Queen of Time,True
Arch Enemy,Burning Angel,2001,Wages of Sin,True
Arch Enemy,Nemesis,2005,Doomsday Machine,True
Arch Enemy,Ravenous,2001,Wages of Sin,True
Arch Enemy,War Eternal,2014,War Eternal,True
Arch Enemy,We Will Rise,2003,Anthems of Rebellion,True
At the Gates,Slaughter of the Soul,1995,Slaughter of the Soul,True
At the Gates,To Drink from the Night Itself,2018,To Drink from the Night Itself,True
Atlas Pain,The Moving Empire,2017,Tales Of A Pathfinder,True
Be'lakor,Abeyance,2016,Of Breath and Bone,True
Be'lakor,The Smoke of Many Fires,2012,Vessels,True
Be'lakor,Venator,2016,Stone's Reach,True
Brymir,All as One,2022,Voices in the Sky,True
Brymir,Borderland,2022,Voices in the Sky,True
Brymir,Chasing the Skyline,2019,Wings of Fire,True
Brymir,Far from Home,2022,Voices in the Sky,True
Brymir,Fly with Me,2022,Voices in the Sky,True
Brymir,Forged in War,2022,Voices in the Sky,True
Brymir,Gloria in Regum,2022,Wings of Fire,True
Brymir,Hails from the Edge,2019,Wings of Fire,True
Brymir,Herald of Aegir,2022,Voices in the Sky,True
Brymir,Landfall,2022,Voices in the Sky,True
Brymir,Pantheon of Forsaken,2019,Slayer of Gods,True
Brymir,"Ride On, Spirit",2022,Wings of Fire,True
Brymir,Rift Between Us,2022,Voices in the Sky,True
Brymir,Seeds of Downfall,2022,Voices in the Sky,True
Brymir,Sphere of Halcyon,2019,Wings of Fire,True
Brymir,Starportal,2019,Wings of Fire,True
Brymir,Voices in the Sky,2022,Voices in the Sky,True
Brymir,Wings of Fire,2019,Wings of Fire,True
Children of Bodom,Everytime I Die,2000,Follow the Reaper,True
Children of Bodom,Kissing the Shadows,2000,Follow the Reaper,True
Children of Bodom,Lake Bodom,1999,Something Wild,True
Crepuscle,Heavenly Skies,2019,Heavenly Skies,True
Crepuscle,In the Winds of Glory,2019,Heavenly Skies,True
Crepuscle,Resignation,2019,Heavenly Skies,True
Dark Tranquillity,Atoma,2016,Atoma,True
