Artist,Title,Year,Album,Validated
Aragorn,Black Ice,2002,"The Neat Singles Collection, Vol. 1",True
Atomkraft,Burn in Hell,1985,Future Warriors,True
Atomkraft,Total Metal,1985,Future Warriors,True
Avenger,Revenge Attack,2018,Killer Elite,True
Avenger,Enforcer,2024,Steel On Steel: The Complete Avenger Recordings,True
Battleaxe,Ready to Deliver,1983,Burn This Town,True
Battleaxe,Battleaxe,1983,Burn This Town,True
Bitches Sin,Always Ready,2002,"The Neat Singles Collection, Vol. 1",True
Bitches Sin,Down The Road,2006,The First Temptation,True
Black Rose,No Point Runnin',2005,Bright Lights Burnin',True
Black Rose,Sucker For Your Love,2005,Bright Lights Burnin',True
Blackmayne,Blackmayne,2018,Blackmayne,True
Blitzkrieg,Buried Alive,1996,Ten,True
Blitzkrieg,Blitzkrieg,2007,Theatre of the Damned,True
Chariot,Screams the Night,2012,Burning Ambition (Deluxe Edition),True
Chariot,Strangers,2012,Burning Ambition (Deluxe Edition),True
Chateaux,Rock And Roll Thunder,1984,FirePower,True
Chateaux,Eyes Of Stone,1984,FirePower,True
Chrome Molly,Thanks for the Angst,2010,You Can't Have It All / Stick It Out,True
Cloven Hoof,Call of the Dark Ones,2014,Resist or Serve,True
Ded Ringer,Hot Lady,2002,"The Neat Singles Collection, Vol. 1",True
Demon,Night of the Demon,1981,Night of the Demon,True
Demon,Face The Master,2024,Invincible,True
Elixir,Treachery (Ride Like The Wind),2011,The Son of Odin (25th Anniversary Edition),True
Elixir,Pandora's Box,2011,The Son of Odin (25th Anniversary Edition),True
Fist,"Name, Rank and Serial Number",2004,Storm,True
Gaskin,I'm No Fool,1981,End Of The World/No Way Out,True
Gaskin,Sweet Dream Maker,1981,End Of The World,True
Girlschool,Race with the Devil,1980,Demolition,True
Girlschool,Please Don't Touch (feat. Motörhead),2002,The Very Best of Girlschool,True
Grim Reaper,See You In Hell,1999,Best Of Grim Reaper,True
Grim Reaper,Rock You To Hell,1999,Best Of Grim Reaper,True
Heavy Pettin,In And Out Of Love,1983,Lettin Loose,True
Heavy Pettin,Sole Survivor,1985,Rock Ain’t Dead,True
Hellanbach,All Systems Go,2002,"The Neat Singles Collection, Vol. 2",True
Hollow Ground,Fight with the Devil,2015,Warlord,True
Hollow Ground,Warlord,2015,Warlord,True
Holocaust,Death Or Glory,1981,The Nightcomers,True
Holocaust,Heavy Metal Mania,1981,The Nightcomers,True
Jaguar,Axe Crazy,1983,Power Games,True
Jaguar,Dutch Connection,1983,Power Games,True
Jameson Raid,Seven Days Of Splendour,2010,Just As The Dust Had Settled,True
Legend,Death in the Nursery,1982,Death in the Nursery,True
Legend,Why Don't You Kill Me,1982,Death in the Nursery,True
Maineeaxe,Rock City,2010,Shout It Out,True
Maineeaxe,Gimme Your Love - Version 2,2010,Going For Gold,True
Medieval Steel,Medieval Steel,2021,The Dungeon Tapes,True
Medieval Steel,Lost in the City,2021,The Dungeon Tapes,True
Mendes Prey,On to the Borderline,2020,The Never Ending Road,True
Mendes Prey,Runnin' for You,2020,The Never Ending Road,True
Nightwing,Black Summer,1982,Black Summer,True
Nightwing,Overnight Sensation,1982,Black Summer,True
Paul Di'Anno's Battlezone,I Don't Wanna Know,2022,Killers In The Battlezone 1986-2000,True
Paul Di'Anno's Battlezone,Children of Madness,2022,Killers In The Battlezone 1986-2000,True
Persian Risk,Ridin' High,2002,"The Neat Singles Collection, Vol. 2",True
Praying Mantis,Children of the Earth,1981,Time Tells No Lies,True
Praying Mantis,Running for Tomorow,1981,Time Tells No Lies,True
Raven,On and On,1985,Stay Hard,True
Raven,Turn Of The Screw,2023,All Hell's Breaking Loose,True
Rogue Male,Crazy Motorcycle,1985,First Visit,True
Samson,Riding with the Angels,2019,Survivors / Head on / Head on (Tony Platt Alternative Mix) / Shock Tactics / Live at Reading,True
Samson,Earth Mother,2019,Survivors / Head on / Head on (Tony Platt Alternative Mix) / Shock Tactics / Live at Reading,True
Saracen,Rock of Ages,2011,"Red Sky and Heroes, Saints & Fools",True
Saracen,Horsemen of the Apocalypse Original Version,2011,"Red Sky and Heroes, Saints & Fools",True
Satan,Death Knell for a King,2018,Cruel Magic,True
Satan,Fuck You,2020,Early Rituals,True
Savage,Let It Loose,2009,Loose 'n' Lethal,True
Savage,Cry Wolf,2009,Loose 'n' Lethal,True
Sweet Savage,Killing Time,1996,Killing Time,True
Sweet Savage,On The Rocks,2004,Archives,True
Tank,Turn Your Head Around,1982,Filth Hounds of Hades,True
Tank,Shellshock,1982,Filth Hounds of Hades,True
Tokyo Blade,If Heaven Is Hell,2010,Tokyo Blade,True
Tokyo Blade,Night of the Blade,2013,The First Cut's the Deepest,True
Tredegar,Duma - German release,1990,Tredegar,True
Tredegar,The Alchemist,1990,Tredegar,True
Trespass,One of These Days,2015,Trespass,True
Trespass,Stormchild,2015,Trespass,True
Tygers Of Pan Tang,Love Potion No. 9,1982,The Cage,True
Tygers Of Pan Tang,Only the Brave,2016,Tygers of Pan Tang,True
Tysondog,Taste The Hate,2009,Crimes Of Insanity,True
Tysondog,Hammerhead,2018,NWOBHM,True
Tytan,The Watcher,2004,Rough Justice,True
Tytan,Cold Bitch,2004,Rough Justice,True
Universe,Stories From The Old Days,1985,Universe,True
Universe,Rollin' On,1985,Universe,True
Vardis,Let's Go - Live,1980,100 MPH (Live),True
Vardis,Do I Stand Accused?,1982,Quo Vardis,True
Vortex,Open The Gate,1986,Open The Gate,True
Vortex,Metal Bats,1998,The Dawning,True
Warfare,Metal Anarchy,2007,The Lemmy Sessions,True
Warfare,Electric Mayhem,2007,Metal Anarchy (Expanded Edition),True
Weapon Uk,Set the Stage Alight,2016,Set the Stage Alight,False
White Spirit,Midnight Chaser,1980,White Spirit,True
White Spirit,Red Skies,1980,White Spirit,True
Witch Cross,Rocking the Night Away,1984,Fit For Fight,True
Witch Cross,Axe Dance,1984,Fit For Fight,True
Witchfynde,Give 'Em Hell,1980,Give 'Em Hell,True
Witchfynde,Ready To Roll,1980,Give 'Em Hell,True
