Artist,Title,Year,Album,Validated
Adagio,Promises,2003,Underworld,True
Adagio,Fame,2006,Dominate,True
Alcatrazz,God Blessed Video,1985,Disturbing The Peace,True
Alcatrazz,Jet to Jet,2017,Breaking the Heart of the City: The Best of Alcatrazz,True
Allen Lande,Master Of Sorrow,2007,The Revenge,True
Andy Martongelli,Army of Darkness,2023,Ultradead,True
Artension,Area 51,1997,Phoenix Rising,True
Artension,Phoenix Rising,1997,Phoenix Rising,True
At Vance,The Winner Takes It All,2006,Dragonchaser,True
At Vance,Four Seasons - Summer,2006,No Escape,True
Ayreon,Day Sixteen: Loser,2004,The Human Equation,True
Ayreon,Comatose,2008,01011001,True
Black Majesty,Six Ribbons,2005,Silent Company,True
Bob Katsionis,Game of Drones,2012,Rest in Keys,True
Bob Katsionis,Falling from the Edge of Space,2012,Rest in Keys,True
Cacophony,Speed Metal Symphony,1987,Speed Metal Symphony,True
Cacophony,Concerto,1987,Speed Metal Symphony,True
Carlos Lichman,Speed Rules - Studio,2009,Firestorm,True
Chris Poland,Return to Metalopolis,1990,Return to Metalopolis (30th Anniversary Edition),True
Condition Red,"Capriccio in G Major, HWV 571",2017,G.F. Handel: Baroque Passion (Lion Music Presents),True
Cydemind,Winter,2019,Winter,True
Dark Moor,Vivaldi's Winter,2005,Beyond the Sea,True
Dark Moor,Canción Del Pirata,2010,Ancestral Romance,True
Dave Martone,Bossa Dorado,2008,Clean,True
Derdian,Lord Of War,2016,Revolution Era,True
Derdian,Eternal Light,2016,Revolution Era,True
Firewind,Maniac,2008,The Premonition,True
Firewind,Rising Fire,2020,Firewind,True
Frank Gambale,6.8 Shaker,1994,Passages,True
Heavenly,When the Rain Begins to Fall,2007,Virus,True
Heavenly,Lost in Your Eyes,2009,Carpe Diem,True
Impellitteri,Spanish Fire,2023,The Complete Beast 1987-2009,True
Impellitteri,17th Century Chicken Pickin',2023,The Complete Beast 1987-2009,True
Iron Mask,Broken Hero,2011,Black as Death,True
Iron Mask,The First and the Last,2016,Diabolica,True
Jacky Vincent,Venom Love,2013,Star X Speed Story,True
Jason Becker,Altitudes,1988,Perpetual Burn,True
Jason Becker,Perpetual Burn,1988,Perpetual Burn,True
Jeff Loomis,Miles of Machines,2008,Zero Order Phase,True
Jeff Loomis,Tragedy and Harmony,2012,Plains Of Oblivion,True
Jeff Scott Soto,Encore: Stand Up,2009,One Night In Madrid,True
Jorn,Blacksong,2006,The Duke,True
Jorn,I Walk Alone,2009,Spirit Black,True
Labyrinth,Moonlight,1998,Return to Heaven Denied,True
Labyrinth,Thunder,1998,Return to Heaven Denied,True
Lars Eric Mattsson,Freedom,2024,Epicentre,True
Lost Horizon,Welcome Back,2001,Awakening the World,True
Lost Horizon,Pure,2002,A Flame To The Ground Beneath,True
Luca Turilli,Virus,2006,Lost Horizons (Luca Turilli's Dream Quest),True
Luca Turilli,Mystic and Divine,2006,The Infinite Wonders of Creation,True
Luca Turilli's Rhapsody,Ascending to Infinity,2012,Ascending to Infinity,True
Luca Turilli's Rhapsody,Dante's Inferno,2012,Ascending to Infinity,True
Michael Romeo,Fear The Unknown,2018,"War Of The Worlds, Pt. 1",True
Michael Romeo,Divide & Conquer,2022,"War Of The Worlds, Pt. 2 (Bonus Tracks Edition)",True
