Artist,Title,Year,Album,Validated
Angra,Angels Cry,1993,Angels Cry,True
Angra,Carry On,1993,Angels Cry,True
Angra,Nothing to Say,1996,Holy Land,True
Angra,Nova Era,2001,Rebirth,True
Angra,Rebirth,2001,Rebirth,True
Angra,Temple of Hate,2004,Temple of Shadows,True
Avantasia,Dying for an Angel,2010,The Wicked Symphony,True
Avantasia,Farewell,2001,"The Metal Opera, Pt. I",True
Avantasia,Lost in Space,2007,The Scarecrow,True
Avantasia,Moonglow,2019,Moonglow,True
Avantasia,Reach Out for the Light,2001,"The Metal Opera, Pt. I",True
Avantasia,The Scarecrow,2008,The Scarecrow,True
Avantasia,The Seven Angels,2002,"The Metal Opera, Pt. 2",True
Avantasia,The Story Ain't Over,2007,Lost in Space (Pt. 1 & Pt. 2),True
Avantasia,Twisted Mind,2008,The Scarecrow,True
Beast in Black,Blind and Frozen,2017,Berserker,True
Beast in Black,One Night in Tokyo,2021,Dark Connection,True
Beast in Black,Sweet True Lies,2019,From Hell With Love,True
Blind Guardian,A Voice in the Dark,2010,At the Edge of Time,True
Blind Guardian,Born in a Mourning Hall,1995,Imaginations from the Other Side,True
Blind Guardian,Imaginations from the Other Side,1995,Imaginations from the Other Side,True
Blind Guardian,Mirror Mirror,1998,Nightfall in Middle Earth,True
Blind Guardian,Nightfall,1998,Nightfall in Middle Earth,True
Blind Guardian,The Bard's Song (In the Forest),1992,Somewhere Far Beyond,True
Blind Guardian,Time What Is Time,1992,Somewhere Far Beyond,True
Blind Guardian,Valhalla,1989,Follow the Blind,True
Cain's Offering,Stolen Waters,2009,Gather the Faithful,True
Dark Moor,Maid of Orleans,2000,The Hall of the Olden Dreams,True
DragonForce,Ashes of the Dawn,2017,Reaching into Infinity,True
DragonForce,Burning Heart (feat. Alissa White-Gluz),2025,Burning Heart,True
DragonForce,Cry Thunder,2012,The Power Within,True
DragonForce,Fury of the Storm,2004,Sonic Firestorm,True
DragonForce,Heroes of Our Time,2008,Ultra Beatdown,True
DragonForce,Highway to Oblivion,2019,Extreme Power Metal,True
DragonForce,Operation Ground and Pound,2006,Inhuman Rampage,True
DragonForce,The Game,2014,Maximum Overload,True
DragonForce,Through the Fire and Flames,2006,Inhuman Rampage,True
DragonForce,Valley of the Damned,2003,Valley of the Damned,True
Edguy,Babylon,1999,Theater of Salvation,True
Edguy,King of Fools,2004,Hellfire Club,True
Edguy,Lavatory Love Machine,2004,Hellfire Club,True
Edguy,Mysteria,2004,Hellfire Club,True
Edguy,Superheroes,2005,Rocket Ride,True
Edguy,Tears of a Mandrake,2001,Mandrake,True
Edguy,The Piper Never Dies,2004,Hellfire Club,True
Edguy,Vain Glory Opera,1998,Vain Glory Opera,True
Evertale,In the Sign of the Valiant Warrior,2013,Of Dragons and Elves,True
Fairyland,A Soldier's Letter,2013,Score to a New Beginning,True
Fairyland,Godsent,2013,Score to a New Beginning,True
Fairyland,Score to a New Beginning,2013,Score to a New Beginning,True
Falconer,Mindtraveller,2001,Falconer,True
Firewind,Falling to Pieces,2005,Allegiance,True
Firewind,Mercenary Man,2008,The Premonition,True
Freedom Call,Metal Is for Everyone,2016,Master of Light,True
Freedom Call,Power & Glory,2012,Land of the Crimson Dawn,True
Freedom Call,The Quest,2017,Crystal Empire,True
Freedom Call,Warriors,1999,Eternity,True
Galneryus,Angel of Salvation,2012,Angel of Salvation,True
Galneryus,Raise My Sword,2015,Under the Force of Courage,True
Gamma Ray,Armageddon,1999,Power Plant,True
Gamma Ray,Dethrone Tyranny,2001,No World Order!,True
Gamma Ray,Heaven Can Wait,1990,Heading for Tomorrow,True
Gamma Ray,Land of the Free,1995,Land of the Free,True
Gamma Ray,Man on a Mission,1995,Land of the Free,True
Gamma Ray,Rebellion in Dreamland,1995,Land of the Free,True
Gamma Ray,Send Me a Sign,1999,Power Plant,True
Gamma Ray,Somewhere Out in Space,1997,Somewhere Out in Space,True
Gloryhammer,Angus McFife,2013,Tales from the Kingdom of Fife,True
Gloryhammer,Masters of the Galaxy,2015,Legends from Beyond the Galactic Terrorvortex,True
Gloryhammer,The Land of Unicorns,2019,Legends from Beyond the Galactic Terrorvortex,True
Gloryhammer,The Unicorn Invasion of Dundee,2013,Tales from the Kingdom of Fife,True
Gloryhammer,Universe on Fire,2015,Space 1992: Rise of the Chaos Wizards,True
HammerFall,Any Means Necessary,2009,"No Sacrifice, No Victory",True
HammerFall,Glory to the Brave,1997,Glory to the Brave,True
HammerFall,Hammer High,2016,Built to Last,True
HammerFall,Hearts on Fire,2002,Crimson Thunder,True
HammerFall,Last Man Standing,2008,Steel Meets Steel - Ten Years of Glory,True
HammerFall,Let the Hammer Fall,1997,Legacy of Kings,True
HammerFall,Renegade,2000,Renegade,True
HammerFall,The Dragon Lies Bleeding,1997,Glory to the Brave,True
Helloween,A Tale That Wasn't Right,1987,"Keeper of the Seven Keys, Pt. 1",True
Helloween,Dr. Stein,1988,"Keeper of the Seven Keys, Pt. 2",True
Helloween,Eagle Fly Free,1988,"Keeper of the Seven Keys, Pt. 2",True
Helloween,Escalation 666,2000,The Dark Ride,True
Helloween,Forever and One (Neverland),1996,The Time of the Oath,True
Helloween,Future World,1987,"Keeper of the Seven Keys, Pt. 1",True
Helloween,Giants On The Run,2025,Giants & Monsters,True
Helloween,Halloween,1987,"Keeper of the Seven Keys, Pt. I",True
Helloween,How Many Tears,1985,Walls of Jericho,True
Helloween,I Want Out,1988,"Keeper of the Seven Keys, Pt. 2",True
Helloween,If A Mountain Could Talk,2010,7 Sinners,True
Helloween,If I Could Fly,2000,The Dark Ride,True
Helloween,Keeper of the Seven Keys,1988,"Keeper of the Seven Keys, Pt. 2",True
Helloween,March of Time,1988,"Keeper of the Seven Keys, Pt. 2",True
Helloween,Mr. Torture,2000,The Dark Ride,True
Helloween,Mrs. God,2005,Keeper of the Seven Keys: The Legacy,True
